LocaleIdentifier,FR
MsgRewardCardsSwipeOrScanRewardCard,Scanner ou utiliser la carte de fidélité
MsgRewardCardsAddRewardsSwipeOrScan,Ajouter des récompenses? En attente de votre carte.
MsgRewardCardsAddPointsSwipeOrScan,Ajouter des points? En attente de de votre carte.
MsgRewardCardsNoPoints,Cette commande n’a pas de points.
MsgRewardCardsFailedAddPoints,Impossible dajouter des points.
MsgRewardCardsFailedAdjustPointsIncorrectValue,Impossible dajuster les points.\nLa valeur saisie est incorrecte.
MsgRewardCardsFailedAdjustPointsBigValue,Impossible dajuster les points.\nLa valeur saisie est supérieure à %d.
MsgRewardCardsFailedAdjustPointsSmallValue,Impossible dajuster les points.\nLa valeur saisie est inférieure à %d.
MsgRewardCardsActionFailed,Action échouée. Veuillez réessayer.
MsgRewardCardsActionSucc,Action réussie.
MsgRewardCardsRewardSuccessfullyVoided,La transaction de récompense a été annulée avec succès.\n\nRétablissez la récompense si nécessaire.
MsgRewardCardsAddPointsSuccessfullyVoided,La transaction d’ajout de points a été annulée avec succès.\n\nRétablissez la récompense si nécessaire.
MsgRewardCardsRedeemRewardSuccessfullyVoided,La transaction d’utilisation de la récompense a été annulée avec succès.\n\nRétablissez la récompense si nécessaire.
MsgRewardCardsRedemptionCancellationFailed,Échec de lannulation dutilisation
MsgRewardCardsPointsAddedSucc,Des points ont été ajoutés à la carte avec succès.
MsgRewardCardsFailedToRedeemPoints,Impossible d’utiliser les points
MsgRewardCardsInsuffFunds,Fonds insuffisants sur la carte de fidélité.\nSolde:%.2f
MsgRewardCardsRewardCardInfo,Informations de la carte de fidélité
MsgRewardCardsPointsAdded,Points ajoutés: %@
MsgRewardCardsRewardsRedeemed,Récompenses utilisées: %@
MsgRewardCardsPoints,Points
MsgRewardCardsCash,Espèces
MsgRewardCardsNoProductsRedeem,Aucun produit approprié pour le remboursement.
MsgRewardCardsForRedemptionMessage,pour Déduction
MsgRewardCardsGetAmountRedeem,Vous devez gagner %d points pour les utiliser. Solde actuel: %d
MsgRewardCardsGetPurchasesAmountRedeem,Vous devrez gagner %@ points d'achat pour réduction.\nSolde actuel est %@.
MsgRewardCardsGetVisitsAmountRedeem,Vous devrez gagner %i points de visites pour réduction.\nSolde actuel est %i .
MsgRewardCardsPointsBalance,Solde de points
MsgRewardCardsRewardsBalance,Solde de récompenses
MsgRewardCongratulations,Félicitations
MsgRewardCardsRewardsRedeemedWithBalance,Récompenses utilisées! %@
MsgRewardCardsCongratulationsRewardPoints,"Félicitations, vous avez %d points de fidélité."
MsgRewardCardsCongratulationsRewardVisits,"Félicitations, vous avez %d récompenses pour les visites."
MsgRewardCardsCongratulationsRewardPurchases,"Félicitations, vous avez %@ récompenses pour les achats."
MsgRewardCardsCongratulationsPoints,"Félicitations, vous avez %@ points de fidélité."
MsgRewardCardsCongratulationsCustomerRewardPoints,"Félicitations %@, vous avez %d points de fidélité."
MsgRewardCardsCongratulationsCustomerRewardVisits,"Félicitations %@, vous avez %d récompenses pour les visites."
MsgRewardCardsCongratulationsCustomerRewardPurchases,"Félicitations %@, vous avez %@ récompenses pour les achats."
MsgRewardCardsCongratulationsCustomerPoints,"Félicitations %@, vous avez %@ points de fidélité."
MsgRewardCardsRewardPointsUpdated,Points mis à jour. Vous avez %d points de fidélité.
MsgRewardCardsRewardVisitsUpdated,Points mis à jour. Vous avez %d points de fidélité.
MsgRewardCardsRewardPurchasesUpdated,"Félicitations %@, vous avez %@ récompenses pour les achats."
MsgRewardCardsAddedRewardPoints,Points de fidélité ajoutés : %d
MsgRewardCardsCurrentRewardPoints,Points de fidélité actuels : %d
MsgRewardCardsCardNrIsNotInDb,Numéro de carte introuvable. Réessayez.
MsgRewardCardsCardExists,La carte existe déjà.
MsgRewardCardsAddPoints,Ajouter %@ point(s)
MsgRewardCardsRedeemReward,Utiliser la récompense
MsgRewardCardsVoidingRewardTransaction,Annulation de la transaction de récompense...
MsgRewardCardsOrderHasAttachedLoyaltyData,Des données de fidélité jointes à la commande. Voulez-vous annuler la transaction de fidélité ?
MsgRewardCardsOrderHasAttachedLoyaltyDataNotSupported,La commande contient les données de fidélité. L'annulation de la transaction de fidélité n'est pas possible sur cette commande.
MsgDiscountReward,Récompense
MsgDiscountRewardLowerCase,récompense
MsgRegisteringLoyalty,Enregistrement de fidélité
MsgLoyaltyYouHaveGiftProductsRedeemPoints,Vous avez des produits cadeaux. Utilisez les points
MsgCustomerEditAddressButton,Modifier l’adresse
MsgCustomerCompanyNameLabel,Nom de l’entreprise:
MsgCustomerAddressNameLabel,Adresse:
MsgCustomerCompleteRequiredFields,Complétez le(s) champ(s) manquant(s) requis.
MsgCustomerHasEnoughPoints,%@ a suffisamment de points pour une récompense.  Utiliser maintenant?
MsgCustomerHasEnoughRewards,%@ possède suffisamment de récompenses. Utiliser maintenant?
MsgRewardCardsPromptToLinkCustomerTitle,Lier le client
MsgRewardCardsPromptToLinkCustomer,La carte %@ appartient à %@. Voulez-vous joindre %@ à la commande ?
MsgRewardCardsPromptToLinkCustomerForExistingCard,Que souhaitez-vous faire avec la commande ?
MsgRewardCardPoints,%d points
MsgRewardCardTotalPoints,%@ Points
MsgRewardCardAddPoints,Ajouter des points
MsgRewardCardPromptToAddPoints,Ajouter des points à la carte de fidélité de %@?
MsgRewardCardNumberPromptToAddPoints,Ajouter des points du produit à la carte de fidélité N°%@?
MsgRewardCardsManage,Gérer les récompenses
MsgRewardsCard,Carte de fidélité
MsgRewardsCardNew,Nouvelle carte de fidélité
MsgRewardsCardNotUsedCreateNew,Cette carte de fidélité na pas été utilisée avant. Créer une nouvelle carte de fidélité ?
MsgRewardsCardNotUsedCreateNewForCustomer,Cette carte de fidélité n'a pas été utilisée avant. Voudriez-vous créer une nouvelle carte de fidélité associée à %@?
MsgRewardChooseRewardAccount,Choisir un compte de fidélité
MsgRewardCardsCustomerHasNoCards,%@ n’a pas encore de récompenses liées.
MsgRewardCardIncorrectNumber,Numéro de carte introuvable. Réessayez.
MsgRewardCardNumberNotFound,%@ est introuvable. Réessayez.
MsgRewardCardGeneratingNumber,Impossible de lire le numéro de la carte
MsgRewardCardDiscountVisitsTitle,Réduction pour fidélité de visite
MsgRewardCardDiscountPurchasesTitle,Réduction pour fidélité d'achat
MsgRewardCardDiscountTitleSales,Récompense achats
MsgRewardCardDiscountTitleVisits,Récompense visites
MsgRewardCardDiscountTitleSalesVisits,Récompense achats et visites
MsgRewardCardsNameOnCard,Nom sur la carte: %@
BtnRewardForSales,Récompense achats
BtnRewardForVisits,Récompense visites
BtnRewardCreateLinked,Oui et Lier le client
MsgPurchaseRewardsEarned,Récompenses gagnées pour les achats: %@
MsgVisitsRewardsEarned,Récompenses gagnées pour les visites: %@
MsgCurrentPurchaseRewards,Récompenses actuelles pour les achats: %@
MsgCurrentVisitsRewards,Récompenses actuelles pour les visites: %@
MsgRewardPointsEarned,Points de fidélité gagnés : %@
MsgCurrentRewardPoints,Points de fidélité actuels : %@
MsgVisits,visites
MsgPurchases,achats
MsgPurchase,achat
MsgVisit,visite
MsgRewardCardsItemPoints,Points de fidélité du produit : %i
MsgRewardCardsSalesPoints,Récompenses totales pour les achats: %.2f
MsgRewardCardsVisitsPoints,Récompenses totales pour les visites: %i
MsgRewardCardsRewardPoints,Total de points de fidélité: %.2f
MsgRewardsPointsToNextReward,Il ne manque que %.2f %@ points pour la prochaine récompense
MsgRewardsWaitingForRedemption,Vous avez %@ points en attente de déduction
MsgRewardsDontForgetToRedeem,N’oubliez pas de déduire vos récompenses pour la réduction
MsgRewardsAvailable,Récompenses disponibles
MsgPurchaseRewards,Récompenses pour les achats
MsgPointRewards,Récompenses pour les points
MsgItemRewards,Récompenses pour les produits
MsgVisitRewards,Récompenses pour les visites
MsgPurchasePoints,Points pour l’achat
MsgRewardPoints,Points de fidélité
MsgItemPoints,Points pour les produits
MsgVisitPoints,Points pour les visites
MsgNoRewardsAvailable,Aucune récompense disponible
MsgLoyaltyTiers,Niveaux de fidélité
MsgLoyalty,Fidélité
MsgRewardDiscountsHaveConflicts,Il y a un conflit entre les réductions sélectionnées et celles déjà appliquées. Poursuivre quand même?
MsgRewardEnterPointsToRedeem,Entrer les points à utiliser
MsgRewardCardsPointsRedeemed,Points utilisés
MsgRewardCardsInitiateRedemptionTransactionToPayWithPoints,Merci de procéder à la déduction pour payer avec les points de fidélité
MsgReceiptTexts,Texte sur le reçu
MsgRewardCardsTIDIsNotSet,Échec de l’opération.\nPinPad ou l’identifiant du terminal TID n’est pas configuré sur la console de gestion.
MsgLoyaltyNoLoyaltyOffersFoundForAvailableLoyaltyBalance,Aucune offre trouvée pour le solde de fidélité disponible
MsgRewardFetchingAwardingInformation,Récupération des informations de l’inventaire
BtnUpdateLinkedCard,Mettre à jour la carte liée
MsgGenPaymentType,Type de paiement
MsgGenPaymentCCNum,Num CB
MsgGenPaymentEnterTipAmounts,Saisir les montants de pourboire
MsgGenPaymentTipAmount,Montant du pourboire
MsgGenPaymentCurrentTip,Pourboire actuel
MsgGenPaymentTipTransactionCountSingular,Transactions de crédit
MsgGenPaymentAddTip,Ajouter un pourboire
MsgGenPaymentAddTip:,Ajouter pourboire :
MsgGenPaymentDeposit,Acompte
MsgGenPaymentGift,Cadeau
MsgGenPaymentCash,Espèces
MsgGenPaymentAddTipsForOfflineP,Pourboire non autorisé pour le paiement hors ligne.\nEssayez de l’ajouter plus tard.
MsgGenPaymentAddTipsForCapturedP,Pourboire non autorisé pour le paiement déjà capturé.
MsgGenPaymentQuestPayment,Paiement Quest
MsgGenPaymentPerfPayOnPinPad,Veuillez effectuer le paiement manuel sur le Pinpad.
MsgGenPaymentContactingMercuryPay,Contact avec MercuryPay en cours
MsgGenPaymentUnknownPOSStationType,Type de TERMINAL TPE inconnu !
MsgGenPaymentOffline,Hors ligne
MsgGenPaymentCreditCardOfflineTransactionsMode,Les paiements par carte de crédit sont passés en mode hors ligne. Les transactions seront traitées lorsque le système sera remis en ligne.
MsgGenPaymentProcessorCannotBeReachedOfflinePaymentsAreDisabled,Le processeur de paiement n’est pas joignable.  Les paiements hors ligne sont désactivés. \nVeuillez contacter votre responsable.
MsgGenPaymentRequestedAmountIsMoreThanAllowedOThreshold,Vous êtes en mode hors ligne. Les frais demandés dépassent le seuil autorisé de %@.\nVeuillez saisir un PIN administrateur pour approuver ces frais.
MsgGenPaymentOfflinePaymentsTotalIsMoreThanAllowedOThreshold,Vous êtes en mode hors ligne. Les frais hors ligne ont dépassé le seuil total de %@.\nVeuillez saisir un PIN administrateur pour approuver ces frais.
MsgGenPaymentOfflineYouCanRetryProcessingOrAcceptThePayment,Le système est en mode hors ligne. Vous pouvez essayer de recontacter le processeur de paiement ou accepter le paiement hors ligne et le traiter plus tard.
MsgGenPaymentOfflinePaymentsHaveBeenSuspendedAsTheMaximumValueOfDeclinedPaymentsHasBeenReached,Les paiements hors ligne ont été suspendus car la valeur maximale des paiements refusés a été atteinte.  Rendez-vous sur Responsable/Paiements refusés et traitez tous les paiements refusés pour restaurer les paiements hors ligne.
MsgGenPaymentManEntrNotSuppOffl,Saisie manuelle non prise en charge en mode hors ligne. Veuillez essayer un autre mode de paiement.
MsgGenPaymentEmptyMessage,Message vide
MsgGenPaymentTakingLonger,Prend plus de temps que prévu... Veuillez patienter au moins 60 secondes.
MsgGenPaymentPaymentStatus,Statut du paiement
MsgGenPaymentDuplicate,Dupliquer
MsgGenPaymentCheckSettings,Vérifier les paramètres
MsgGenPaymentMagTekError,Erreur MagTek
MsgGenPayment3773NotSupp,(3773) n'est pas pris en charge
MsgGenPaymentiPP350USAEPAY,iPP350 USAePay
MsgGenPaymentNotSupported,Non pris en charge
MsgGenPaymentMercuryPayFailed,Échec de MercuryPay
MsgGenPaymentTrack2empty,Plage 2 vide
MsgGenPaymentCardSwipeLaneIDEmpty,Le paramètre LaneID du lecteur de carte est vide.\nVeuillez attribuer un LaneID à votre lecteur de carte.
MsgGenPaymentKSNempty,KSN vide
MsgGenPaymentReturnToWrongAccount,Tentative de retour au compte incorrect.
MsgGenPaymentDebitSupportForRetailAndGrocery,Les paiements par débit sont pris en charge uniquement pour la vente au détail et l’épicerie!\nVeuillez utiliser un autre mode de paiement.
MsgGenPaymentSendingPayment,Envoi du paiement
MsgGenPaymentGiftCardError,Erreur carte cadeau
MsgGenPaymentGiftCardActivate,Activer la carte cadeau
MsgGenPaymentGiftCardCreateOrAdd,Créer ou ajouter valeur à une nouvelle carte cadeau ou à la carte existante: %.02f?
MsgGenPaymentStoreCreditActivate,Total avoir:
MsgGenPaymentStoreCreditReceiptType,Sélectionner le type de commande
MsgGenPaymentStoreCreditCreate,Total avoir:
MsgGenPaymentStoreCreditPay,Payer avec une carte Stanford
MsgGenPaymentGiftCardRechargeTitle,Recharger la carte
MsgGenPaymentGiftCardRechargeText,Ajouter des fonds
MsgGenPaymentGiftCardActivatePrompt,Souhaitez-vous créer une nouvelle carte cadeau %@ ou ajouter %@ à la carte cadeau liée de %@?
MsgGenPaymentReEnterAValidCardNr,Veuillez saisir un numéro de carte valide.
MsgGenPaymentGiftCardBalance,Solde carte cadeau
MsgGenPaymentPleaseEnterValidAmount,Veuillez saisir un montant valide.
MsgGenPaymentFailedActivateGiftCard,Échec dactivation de la carte cadeau.
MsgGenPaymentFailedToVoidGiftCard,Échec dannulation de la carte cadeau
MsgGenPaymentGiftActivationNotSupported,Activation de la carte cadeau non prise en charge.
MsgGenPaymentGiftCardInfo,Informations sur la carte cadeau
MsgGenPaymentStoreCreditInfo,Avoir
MsgGenPaymentGiftCardActivationSuccessful,Activation réussie
BtnGenPaymentAddValue,Ajouter de la valeur
MsgGenPaymentAmountFormat,Montant
MsgGenPaymentTipFormat,Pourboire
MsgGenPaymentUserNotManagerOrOwner,L'utilisateur ne possède pas les droits d’administrateur.
MsgGenPaymentTipAmountOver100,Le montant du pourboire excède 100%.
MsgGenPaymentTipAmountOver100ManagerCard,Le montant du pourboire excède 100%.
MsgGenPaymentAutoCaptureError,Erreur de capture automatique
MsgGenPaymentACTimeFormatInvalid,Format d’heure de la capture automatique non valide (%@)! Veuillez vérifier vos paramètres de la console de gestion.
MsgGenPaymentUnableConnWithProcessor,Impossible d’établir une connexion avec le processeur. Veuillez essayer un autre mode de paiement.
MsgGenPaymentCaptureAllowedJustOnMain,Vous ne pouvez capturer les transactions que sur le TPV principal.
MsgGenPaymentRequestedOperationNotSupportedContactPaymentExpress,L’opération demandée nest pas prise en charge. Veuillez contacter Payment Express.
MsgGenPaymentProcessingAction,Traitement de l’action
MsgGenPaymentConfirmTipAmount,Confirmer le montant du pourboire
MsgGenPaymentTipGreaterThanTotal,Le montant du pourboire que vous avez saisi est supérieur au montant total du paiement.
MsgGenPaymentDriveOff,Vol de carburant
MsgGenPaymentFleetCard,Carte Flotte
MsgGenPaymentManualFleetCard,Carte Flotte
MsgGenPaymentManualFleetCardAuthorization,Autorisation
MsgGenPaymentManualFleetCardVoucher,Numéro d’authentification
MsgGenPaymentMaximumNumberOfProducts,Uniquement %d produits sont permis pour ce type de transaction.
MsgGenPaymentOnlyOneFuelProductIsAllowed,Uniquement 1 produit carburant est permis pour ce type de transaction.
MsgGenPaymentNoProductCodeFoundForItem,Code produit introuvable pour larticle
MsgGenPaymentOnlyOneRetailProductIsAllowed,Uniquement 1 produit de vente au détail est permis pour ce type de transaction
MsgVoidVoidError,Erreur de l’annulation
MsgVoidFailedUpdPaymentRec,Impossible de mettre à jour l’enregistrement du paiement.
MsgVoidNoResponse,Aucune réponse
MsgVoidVoidFailed,Annulation échouée
MsgVoidReadThis,À lire
MsgVoidRefundPayBeforeVoid,Veuillez rembourser le paiement %@ avant d’annuler le(s) produit(s).
BtnVoidRefund,Rembourser
MsgVoidRefundPaymentsOfAmount,Rembourser les paiements de %@
MsgVoidNoThanks,Non merci
MsgVoidQuestPayment,Paiement Quest
MsgVoidReferPinPad,Consulter le PinPad
MsgVoidPotFraudWarn,Avertissement de fraude potentielle. Paiement effectué au cours de deux derniers jours.
MsgVoidLevelupRefundFailed,Échec du remboursement Levelup
MsgVoidRefundError,Erreur du remboursement
MsgVoidAdyenRefundError,Erreur du remboursement Adyen
MsgVoidNoTransNrFoundForRefund,Aucun numéro de transaction trouvé pour réaliser le remboursement.
MsgVoidRefundNotPossiblePaymentIsOffline,Les remboursements ne sont pas disponibles actuellement.\nLes paiements sont hors ligne. \nVeuillez terminer le remboursement une fois la connexion restaurée.
MsgVoidRefundInTrainingMode,Uniquement les paiements en espèces sont remboursés en Mode de formation
MsgVoidMercuryPayRefundError,Erreur de remboursement MercuryPay
MsgVoidBadgeRefundFailed,Échec du remboursement du badge
MsgVoidChargeAmt,Remboursement\nsuggéré
MsgVoidRefundAmt,Montant\ndu remboursement
MsgVoidTipAmount,Montant\ndu pourboire
MsgVoidRefundTip,Rembourser\nle pourboire
MsgVoidAmountRemaining,Montant restant :
MsgVoidPaymentRefundCannotBeMoreChargeAmount,Le montant du remboursement ne peut pas excéder le montant des frais.
MsgVoidTotalRefund,Montant total du remboursement
MsgVoiding,Annulation
MsgRefunding,Remboursements
MsgVoidPayPalRefundFailed,Échec du remboursement PayPal
MsgVoidPerformingRefundForOfflinePayment,Remboursement du paiement hors ligne en cours...
MsgVoidRefundNotPossiblePaymentProcessingInProgress,Le remboursement pour la transaction n’est pas disponible - %@.\nTraitement du paiement en cours.\nVeuillez réessayer.
