LocaleIdentifier,IT
MsgSplitBillSplitBill,Ricevuta condivisa
MsgSplitBillEnterNumberOfPersons,Inserisci il numero di persone
MsgPaymentProcessorsProcessingPleaseWait,"Elaborazione in corso, attendere prego…"
BtnGiftCardLinked,Carta collegata
BtnGiftCardLink,Collega carta regalo
BtnGiftCardProcessorsReSwipeCard,Striscia nuovamente la carta
BtnGiftCardProcessorsSwipeCard,Striscia
MsgGiftCardSelectLinked,Seleziona una carta regalo collegata
MsgGiftCardProcessorsSynergyError,Errore carta
MsgGiftCardProcessorsCardNumberEmpty,Numero carta assente! Riprova!
MsgGiftCardProcessorsZerroAmount,L’importo deve essere superiore a 0.00!
MsgGiftCardProcessorsEnterAmount,Inserisci importo
MsgGiftCardProcessorsCardSuccAct,Carta attivata correttamente.\nSaldo: %.2f
MsgGiftCardProcessorsCardUpdatedSucc,Carta aggiornata correttamente.
MsgGiftCardProcessorsInsufficientFunds,Fondi insufficienti su carta.\nSaldo: %.2f
MsgGiftCardProcessorsFailedToUpdate,Impossibile aggiornare la carta.
MsgGiftCardProcessorsFailedToActivate,Impossibile attivare la carta.
MsgGiftCardProcessorsFailedToFetch,Impossibile recuperare le informazioni della carta.
MsgGiftCardProcessorsValutecError,Errore Valutec
MsgGiftCardProcessorsFailedToCreate,Impossibile creare la carta.
MsgGiftCardProcessorsCardCreatedSucc,Carta %@ creata con successo.\nSaldo: %.2f
MsgGiftCardProcessorsCardIsActive,La carta è già attiva.
MsgGiftCardProcessorsCardIsNotActive,La carta non è stata attivata.
MsgGiftCardProcessorsRefundOfGiftPayment,Non è consentito effettuare il rimborso di pagamenti con carta regalo inferiore a %@.
MsgGiftCardProcessorsGivexTransFailed,Transazione Givex non riuscita!\n%@
MsgGiftCardProcessorsCardCreatedSucc2,Carta %@ creata con successo.
MsgGiftCardProcessorsCardSuccAct2,La carta è stata attivata con successo.
MsgGiftCardProcessorsCardValueAdded,Valore della carta aggiunto.
MsgGiftCardProcessorsFailedToUpdateCard,Impossibile aggiornare la carta n.%@.\n%@
MsgGiftCardProcessorsCustomerIsLinkedSucc,Il cliente è stato collegato con successo.
MsgGiftCardProcessorsFailedToLinkCust,Impossibile collegare il cliente.
MsgGiftCardProcessorsFailedToLinkCheckLog,Impossibile collegare il cliente.
MsgGiftCardProcessorsFailedToSyncCustomer,Impossibile sincronizzare la carta.
MsgGiftCardProcessorsSwipeGiftCard,Striscia la carta regalo
MsgGiftCardProcessorsWaitingForCardSwipe,In attesa del lettore di carte
MsgGiftCardProcessorsCardNrMustBeGreateThanZero,La lunghezza del numero della carta deve essere maggiore a 0
MsgGiftCardProcessorsLocation,Posizione
MsgGiftCardProcessorsBadSwipe,La lettura della carta non riuscita. Riprova.
MsgGiftCardProcessorsWaitingForSwipe,In attesa di strisciare la carta.
MsgGiftCardProcessorsAddGiftCardSupport,Aggiungere il supporto per carta regalo?
MsgGiftCardProductName,Regalo %.2f
MsgGiftCardProcessorsCardNotFound,Il numero della carta non è stato trovato. Riprova
MsgGiftCardsManage,Gestisci carta regalo
MsgGiftCardsCustomerHasNoCards,%@ non ha nessuna carta regalo collegata
MsgGiftCardPromptToLinkCardToCustomer,Desideri collegare carta regalo #%@ al cliente %@?
MsgPaymentGiftCardAuthorization,Autorizzazione carta regalo
MsgCardReadersError,Errore %i: %@
MsgCardReadersPortableError,Errore del lettore di carte portatile
MsgCardReadersPleaseConfigProperSwipe,Configura lettore di carte adeguato per questa stazione.
MsgCardReadersCardSwipeNoData,Lettore di carte non valido
MsgCardReadersFailedToReadCardNumber,Impossibile leggere il numero di carta
BtnRewardCardsLinkCustomer,Collega cliente
BtnRewardCardsLinkOtherCustomer,Collega altro cliente
BtnRewardCardsLinkCurrentCustomer,Collega cliente
BtnRewardCardsCustomerInfo,Informazioni del cliente
BtnRewardCardsLink,Collega carte fedeltà
BtnRewardCardsAddPoints,Aggiungi punti
MsgRewardCardsCardNrLengthNoOption,La lunghezza del numero della carta deve essere di %d o %d.
MsgRewardCardsCardNrLength,La lunghezza del numero della carta deve essere di %d o %d.
MsgRewardCardsSwipeRewardCard,Striscia la carta fedeltà
MsgRewardCardsSwipeOrScanRewardCard,Scannerizza o striscia la carta fedeltà
MsgRewardCardsAddRewardsSwipeOrScan,Aggiungere punti fedeltà? In attesa del lettore di carte.
MsgRewardCardsAddPointsSwipeOrScan,Aggiungere punti? In attesa del lettore di carte.
MsgRewardCardsNoPoints,Non risultano punti per quest’ordine.
MsgRewardCardsFailedAddPoints,Impossibile aggiungere punti.
MsgRewardCardsFailedAdjustPointsIncorrectValue,Impossibile gestire i punti. \nIl valore inserito non è corretto.
MsgRewardCardsFailedAdjustPointsBigValue,Impossibile gestire i punti. \nIl valore inserito è maggiore a %d.
MsgRewardCardsFailedAdjustPointsSmallValue,Impossibile gestire i punti. \nIl valore inserito è minore a %d.
MsgRewardCardsActionFailed,Operazione non riuscita. Riprova.
MsgRewardCardsActionSucc,Operazione riuscita con successo.
MsgRewardCardsRewardSuccessfullyVoided,"La transazione di carta fedeltà è stata annullata con successo.\n\nRipristina la carta fedeltà, se necessario."
MsgRewardCardsAddPointsSuccessfullyVoided,"L’aggiunta punti è stata annullata con successo.\n\nRipristina la carta fedeltà, se necessario."
MsgRewardCardsRedeemRewardSuccessfullyVoided,"Il riscatto di punti fedeltà è stato annullato con successo.\n\nRipristina la carta fedeltà, se necessario."
MsgRewardCardsRedemptionCancellationFailed,Cancellazione non riuscita
MsgRewardCardsPointsAddedSucc,I punti sono stati aggiunti alla carta con successo.
MsgRewardCardsFailedToRedeemPoints,Impossibile riscattare i punti
MsgRewardCardsInsuffFunds,Fondi insufficienti su carta fedeltà.\nSaldo: %.2f
MsgRewardCardsRewardCardInfo,Info su carta fedeltà
MsgRewardCardsPointsAdded,Punti aggiunti: %@
MsgRewardCardsRewardsRedeemed,Premi riscattati: %@
MsgRewardCardsPoints,Punti
MsgRewardCardsCash,Contante
MsgRewardCardsNoProductsRedeem,Non ci sono prodotti da rimborsare.
MsgRewardCardsForRedemptionMessage,Da riscattare
MsgRewardCardsGetAmountRedeem,È necessario accumulare%d punti per poter riscattarli. Il saldo corrente è pari a %d
MsgRewardCardsGetPurchasesAmountRedeem,È necessario accumulare un importo di %@ delle spese per poter spendere il premio.\nSaldo corrente è %@.
MsgRewardCardsGetVisitsAmountRedeem,È necessario accumulare %i di visite  per poter spendere il premio.\nSaldo corrente è %i.
MsgRewardCardsPointsBalance,Saldo punti
MsgRewardCardsRewardsBalance,Saldo punti
MsgRewardCongratulations,Congratulazioni
MsgRewardCardsRewardsRedeemedWithBalance,Premi riscattati! %@
MsgRewardCardsCongratulationsRewardPoints,"Congratulazioni, hai accumulato %d punti premio."
MsgRewardCardsCongratulationsRewardVisits,"Congratulazioni, hai accumulato %d premi visite"
MsgRewardCardsCongratulationsRewardPurchases,"Congratulazioni, hai accumulato %@ premi acquisti"
MsgRewardCardsCongratulationsPoints,"Congratulazioni, hai accumulato %@ punti premio"
MsgRewardCardsCongratulationsCustomerRewardPoints,"Congratulazioni %@, hai accumulato %d punti premio."
MsgRewardCardsCongratulationsCustomerRewardVisits,"Congratulazioni %@, hai %d premio visite."
MsgRewardCardsCongratulationsCustomerRewardPurchases,"Congratulazioni %@, hai %@ premio acquisti."
MsgRewardCardsCongratulationsCustomerPoints,"Congratulazioni %@, hai accumulato %@ punti premio."
MsgRewardCardsRewardPointsUpdated,Punti aggiornati. Hai accumulato %d punti premio.
MsgRewardCardsRewardVisitsUpdated,Punti aggiornati. Hai accumulato %d punti premio.
MsgRewardCardsRewardPurchasesUpdated,"Congratulazioni %@, hai %@ premio acquisti."
MsgRewardCardsAddedRewardPoints,Punti premio aggiunti: %d
MsgRewardCardsCurrentRewardPoints,Punti premio correnti: %d
MsgRewardCardsCardNrIsNotInDb,Il numero della carta non è stato trovato. Riprova.
MsgRewardCardsCardExists,Carta già esistente.
MsgRewardCardsAddPoints,Aggiungi %@ punto(i)
MsgRewardCardsRedeemReward,Riscatta punti fedeltà
MsgRewardCardsVoidingRewardTransaction,Annullamento transazione carta fedeltà
MsgRewardCardsOrderHasAttachedLoyaltyData,L’ordine ha dati fedeltà associati. Desideri annullare transazione?
MsgRewardCardsOrderHasAttachedLoyaltyDataNotSupported,L'ordine ha dei dati fedeltà allegati. Cancellazione della transazione non è permessa per questo ordine.
MsgDiscountReward,Premio
MsgDiscountRewardLowerCase,fedeltà
MsgRegisteringLoyalty,Registrazione carta fedeltà
MsgLoyaltyYouHaveGiftProductsRedeemPoints,Hai prodotti da regalo. Riscatta i punti
MsgCustomerEditAddressButton,Modifica indirizzo
MsgCustomerCompanyNameLabel,Nome dell’azienda:
MsgCustomerAddressNameLabel,Nome indirizzo:
MsgCustomerCompleteRequiredFields,Compila i campi obligatori mancanti.
MsgCustomerHasEnoughPoints,%@ ha sufficienti punti per ricevere un premio. Riscattare ora?
MsgCustomerHasEnoughRewards,%@ ha sufficienti punti. Riscattare ora?
MsgRewardCardsPromptToLinkCustomerTitle,Collega cliente
MsgRewardCardsPromptToLinkCustomer,La carta %@ appartiene a %@. Desideri allegarla %@ all’ordine?
MsgRewardCardsPromptToLinkCustomerForExistingCard,Cosa desideri fare con ordine?
MsgRewardCardPoints,%d punti
MsgRewardCardTotalPoints,%@ Punti
MsgRewardCardAddPoints,Aggiungi punti
MsgRewardCardPromptToAddPoints,Desideri aggiungere punti alla carta fedeltà %@?
MsgRewardCardNumberPromptToAddPoints,Desideri aggiungere punti alla carta fedeltà n.%@?
MsgRewardCardsManage,Gestisci premi
MsgRewardsCard,Carta fedeltà
MsgRewardsCardNew,Nuova carta fedeltà
MsgRewardsCardNotUsedCreateNew,Questa carta fedeltà non è stata utilizzata prima. Vuoi creare una nuova carta fedeltà?
MsgRewardsCardNotUsedCreateNewForCustomer,Questa carta fedeltà non è stata utilizzata prima. Vuoi creare una nuova carta fedeltà collegata a %@?
MsgRewardChooseRewardAccount,Scegli utente di carta fedeltà
MsgRewardCardsCustomerHasNoCards,%@ non ha ancora punti disponibili.
MsgRewardCardIncorrectNumber,Il numero della carta non è stato trovato. Riprova.
MsgRewardCardNumberNotFound,Impossibile trovare %@. Riprova.
MsgRewardCardGeneratingNumber,Impossibile leggere il numero di carta
MsgRewardCardDiscountVisitsTitle,Sconto punti visite
MsgRewardCardDiscountPurchasesTitle,Sconto punti spesa
MsgRewardCardDiscountTitleSales,Premio vendite
MsgRewardCardDiscountTitleVisits,Premio visite
MsgRewardCardDiscountTitleSalesVisits,Premio vendite e visite
MsgRewardCardsNameOnCard,Nome sulla carta: %@
BtnRewardForSales,Premio vendite
BtnRewardForVisits,Premio visite
BtnRewardCreateLinked,Sì e collega al cliente
MsgPurchaseRewardsEarned,Premi acquisti guadagnati: %@
MsgVisitsRewardsEarned,Premi visite guadagnati: %@
MsgCurrentPurchaseRewards,Premi acquisti correnti: %@
MsgCurrentVisitsRewards,Premi visite attuali: %@
MsgRewardPointsEarned,Punti fedeltà guadagnati: %@
MsgCurrentRewardPoints,Punti premio correnti: %@
MsgVisits,visite
MsgPurchases,acquisti
MsgPurchase,acquisto
MsgVisit,visita
MsgRewardCardsItemPoints,Punti premio articolo: %i
MsgRewardCardsSalesPoints,Premi acquisti totali: %.2f
MsgRewardCardsVisitsPoints,Premi visite totali: %i
MsgRewardCardsRewardPoints,Punti premio totali: %.2f
MsgRewardsPointsToNextReward,Hai bisogno di %.2f più %@ punti per raggiungere il prossimo premio fedeltà
MsgRewardsWaitingForRedemption,Hai %@ punti in attesa per riscatto
MsgRewardsDontForgetToRedeem,Non dimenticate di riscattare i premi per gli sconti
MsgRewardsAvailable,Premi disponibili
MsgPurchaseRewards,Premi acquisti
MsgPointRewards,Punti premio
MsgItemRewards,Premi articoli
MsgVisitRewards,Premi visite
MsgPurchasePoints,Punti di acquisto
MsgRewardPoints,Punti fedeltà
MsgItemPoints,Punti articolo
MsgVisitPoints,Punti visita
MsgNoRewardsAvailable,Nessun premio disponibile
MsgLoyaltyTiers,Livelli di carta fedeltà
MsgLoyalty,Fedeltà
MsgRewardDiscountsHaveConflicts,Sconti selezionati non coincidono con quelli aggiunti. Procedere comunque?
MsgRewardEnterPointsToRedeem,Inserisci punti da riscattare
MsgRewardCardsPointsRedeemed,Punti riscattati
MsgRewardCardsInitiateRedemptionTransactionToPayWithPoints,Si prega di iniziare il processo di riscatto per pagare con punti fedeltà
MsgReceiptTexts,Testi ricevute
MsgRewardCardsTIDIsNotSet,Azione non riuscita.\nPinPad o TID del POS non è impostato sul backend.
MsgLoyaltyNoLoyaltyOffersFoundForAvailableLoyaltyBalance,Nessuna offerta trovata per l’importo di punti fedeltà accumulato
MsgRewardFetchingAwardingInformation,Recupero informazioni dell’inventario
BtnUpdateLinkedCard,Aggiorna carta allegata
MsgGenPaymentType,Tipo di pagamento
MsgGenPaymentCCNum,Numero carta di credito
MsgGenPaymentEnterTipAmounts,Inserisci l’importo della mancia
MsgGenPaymentTipAmount,Importo mancia:
MsgGenPaymentCurrentTip,Mancia corrente
MsgGenPaymentTipTransactionCountSingular,Transazioni con carta di credito
MsgGenPaymentAddTip,Aggiungi mancia
MsgGenPaymentAddTip:,Aggiungi mancia:
MsgGenPaymentDeposit,Deposito
MsgGenPaymentGift,Regalo
MsgGenPaymentCash,Contante
MsgGenPaymentAddTipsForOfflineP,Non è consentito aggiungere mance ad un pagamento off-line.\nRiprova ad aggiungere la mancia più tardi.
MsgGenPaymentAddTipsForCapturedP,Non è consentito aggiungere mance a un pagamento terminato.
MsgGenPaymentQuestPayment,Pagamento Quest
MsgGenPaymentPerfPayOnPinPad,Esegui il pagamento manuale su PinPad.
MsgGenPaymentContactingMercuryPay,Contatto MercuryPay
MsgGenPaymentUnknownPOSStationType,Tipo di STAZIONE POS sconosciuto!
MsgGenPaymentOffline,Non in linea (off-line)
MsgGenPaymentCreditCardOfflineTransactionsMode,Transazioni con carta credito sono passati a modalità off-line. Le transazioni saranno trattate quando il sistema è di nuovo on-line
MsgGenPaymentProcessorCannotBeReachedOfflinePaymentsAreDisabled,Processore di pagamento non può essere raggiunto. I pagamenti off-line sono disabilitati.\nContatta persona responsabile.
MsgGenPaymentRequestedAmountIsMoreThanAllowedOThreshold,Sei in modalità off-line. L’importo richiesto è maggiore del valore consentito di %@.\nInserisci un PIN amministratore per approvare questa operazione.
MsgGenPaymentOfflinePaymentsTotalIsMoreThanAllowedOThreshold,Sei in modalità off-line. L’importo off-line ha superato il valore totale di %@.\nInserisci un PIN amministratore per approvare questa operazione.
MsgGenPaymentOfflineYouCanRetryProcessingOrAcceptThePayment,Il sistema è in modalità off-line. È possibile provare a contattare nuovamente il processore di pagamento o accettare il pagamento off-line ed elaborarlo successivamente.
MsgGenPaymentOfflinePaymentsHaveBeenSuspendedAsTheMaximumValueOfDeclinedPaymentsHasBeenReached,I pagamenti off-line sono stati sospesi poichè è stato raggiunto il valore massimo dei pagamenti rifiutati. Vai a “Manager/Pagamenti rifiutati” ed elabora i pagamenti rifiutati per ripristinarli off-line.
MsgGenPaymentManEntrNotSuppOffl,Inserimento manuale non supportato in modalità off-line. Prova un altro metodo di pagamento.
MsgGenPaymentEmptyMessage,Messaggio vuoto
MsgGenPaymentTakingLonger,Sta richiedendo più tempo dal previsto... Attendi almeno 60 secondi.
MsgGenPaymentPaymentStatus,Stato del pagamento
MsgGenPaymentDuplicate,Duplica
MsgGenPaymentCheckSettings,Controlla impostazioni
MsgGenPaymentMagTekError,Errore Magtek
MsgGenPayment3773NotSupp,(3773) non supportato
MsgGenPaymentiPP350USAEPAY,iPP350 USA EPAY
MsgGenPaymentNotSupported,Non supportato
MsgGenPaymentMercuryPayFailed,MercuryPay non riuscito
MsgGenPaymentTrack2empty,Traccia 2 vuota
MsgGenPaymentCardSwipeLaneIDEmpty,Il parametro del lettore di carte “LanelD” mancante.\nAssegna un “LanelD” alla tua carta.
MsgGenPaymentKSNempty,KSN vuoto
MsgGenPaymentReturnToWrongAccount,Redirezionato al conto errato.
MsgGenPaymentDebitSupportForRetailAndGrocery,La carta bancomat è supportata solo con Retail e Grocery ! \nEffettua il pagamento con altro metodo.
MsgGenPaymentSendingPayment,Invia pagamento
MsgGenPaymentGiftCardError,Errore carta regalo
MsgGenPaymentGiftCardActivate,Attiva carta regalo
MsgGenPaymentGiftCardCreateOrAdd,Crea o aggiungi valore a una nuova o carta regalo esistente: %.02f?
MsgGenPaymentStoreCreditActivate,Totale carte di credito:
MsgGenPaymentStoreCreditReceiptType,Seleziona il tipo di ordine
MsgGenPaymentStoreCreditCreate,Totale carte di credito:
MsgGenPaymentStoreCreditPay,Pagare con carta Stanford
MsgGenPaymentGiftCardRechargeTitle,Ricarica carta
MsgGenPaymentGiftCardRechargeText,Aggiungi fondi
MsgGenPaymentGiftCardActivatePrompt,Desideri creare una nuova %@ carta regalo o aggiungere %@ alla carta regalo collegata di %@?
MsgGenPaymentReEnterAValidCardNr,Inserisci un numero di carta valido.
MsgGenPaymentGiftCardBalance,Saldo carta regalo
MsgGenPaymentPleaseEnterValidAmount,Inserisci un importo valido.
MsgGenPaymentFailedActivateGiftCard,Impossibile attivare la carta regalo.
MsgGenPaymentFailedToVoidGiftCard,Impossibile annullare la carta regalo.
MsgGenPaymentGiftActivationNotSupported,Attivazione carta regalo non supportata.
MsgGenPaymentGiftCardInfo,Info su carta regalo
MsgGenPaymentStoreCreditInfo,Aggiorna le informazioni delle carte di credito
MsgGenPaymentGiftCardActivationSuccessful,Attivazione riuscita
BtnGenPaymentAddValue,Aggiungi valore
MsgGenPaymentAmountFormat,Importo
MsgGenPaymentTipFormat,Mancia
MsgGenPaymentUserNotManagerOrOwner,L’utente non ha diritti di amministratore.
MsgGenPaymentTipAmountOver100,L’importo della mancia supera il 100%
MsgGenPaymentTipAmountOver100ManagerCard,L’importo della mancia supera il 100%
MsgGenPaymentAutoCaptureError,Errore auto-acquisizione dei dati
MsgGenPaymentACTimeFormatInvalid,Formato ora di auto-acquisizione non valido (%@)! Controlla impostazioni del backend.
MsgGenPaymentUnableConnWithProcessor,Impossibile connettersi al processore. Prova un altro metodo di pagamento.
MsgGenPaymentCaptureAllowedJustOnMain,Si può effetuare acquisizione dati solo sulla stazione principale.
MsgGenPaymentRequestedOperationNotSupportedContactPaymentExpress,Operazione richiesta non supportata. Si prega di contattare Payment Express.
MsgGenPaymentProcessingAction,Elaborazione operazione
MsgGenPaymentConfirmTipAmount,Conferma importo mancia
MsgGenPaymentTipGreaterThanTotal,L’importo mancia che è inserito supera importo totale del pagamento.
MsgGenPaymentDriveOff,Vendita non pagata
MsgGenPaymentFleetCard,Carta flotta
MsgGenPaymentManualFleetCard,Carta flotta
MsgGenPaymentManualFleetCardAuthorization,Autorizzazione
MsgGenPaymentManualFleetCardVoucher,Numero di autorizzazione
MsgGenPaymentMaximumNumberOfProducts,Solo %d prodotti sono autorizzati per questo tipo di transazione
MsgGenPaymentOnlyOneFuelProductIsAllowed,Only 1 fuel product is allowed for this transaction type
MsgGenPaymentNoProductCodeFoundForItem,Nessun codice trovato per questo articolo
MsgGenPaymentOnlyOneRetailProductIsAllowed,Solo 1 prodotto è consentito per questo tipo di transazione
