LocaleIdentifier,RU
ActionEditModifiers,Редактировать модификаторы
ActionChangeDining,Сменить тип заказа
ActionChangeCourse,Сменить блюдо
ActionEditSpecialRequest,Особый запрос
ActionFireNextCourse,Подтвердить блюдо %d
ActionCopyItem,Скопировать выбранный файл
ActionCopyItems,Скопировать несколько файлов
ActionLayawayItem,Зарезервировать позицию
ActionLayawayItems,Зарезервировать позиции
ActionReprintItem,Повторная печать позиции
ActionReprintItems,Повторная печать позиций
ActionRemakeItem,Удалить
ActionRemakeItems,Удалить
ActionManageCommission,Распределить комиссионные
ActionReprintToKitchen,Отправить на кухню
ActionServiceFee,Сбор за обслуживание
ActionCompSelectedItem,%@ выбранная позиция
ActionCompSeveralItems,%@ выбранных позиций
ActionReprintOrderItems,Повторная печать позиции(-й)
ActionSendSelectedItem,Отправить выбранную позицию
ActionSendSeveralItems,Отправить несколько позиций
ActionSendAllItems,Отправить все позиции
ActionSendCourse,Отправить подачу блюд
ActionDiscountSelectedItem,Применить скидку к выбранной позиции
ActionDiscountSeveralItems,Применить скидку к нескольким позициям
ActionSelectItemsTo,Выбрать позицию(-и) для %@
ActionOverridePrice,Скорректировать цену
ActionCopy,Скопировать
ActionVoid,Аннулировать
ActionLayaway,Зарезервировать
ActionMove,Переместить
ActionExchange,Обменять
ActionReturn,Вернуть
ActionVoidReturn,Вернуть
ActionReturnToPump, Pump
ActionComp,Комп.
ActionComps,Беспл. позиция(-и)
ActionsForItem,Действия для [%@]:
AdditionalActions,Дополнительные действия
MsgComp,Комп.
MsgActionScreenItemSentAt,Позиция отправлена за
GiftCardCreate,Создать сертификат
GiftCardManage,Редактировать подарочную карту
GiftCardVoid,Аннулировать подарочную карту
StoreCreditVoid,Кредит в магазине
RewardCardCreate,Создать бонусную карту
RewardCardManage,Редактировать бонусную карту
SplitEven,Разделить поровну
SplitOdd,Разделить вручную
SplitSelect,Разделить по позициям
SplitSeat,Разделить по гостю
PosStation,Станция
PosStations,Станции
PosStationMain,Главная
SetAsMain,Сделать главной
MsgRegistrationInProcess,Регистрация...
MsgRegistrationFailed,Ошибка регистрации
MsgRegistrationFailedWithReason,Ошибка регистрации\nПричина: «%@».
MsgRegistrationResync,Повторить синхронизацию приложения?
MsgRegistrationTokenRetrieveFail,Ошибка проверки подлинности. Повторить?
MsgRegistrationTokenRetrieveFailWithReason,Ошибка проверки подлинности\nПричина: «%@».\nПовторить?
MsgRegistrationConfirmSettings,Ваш URL: %@\n\nВаша организация: %@\n\nВерно?
MsgRegistrationTokenAuthenticationFailed,Ошибка проверки подлинности
MsgRefreshInProcess,Загрузка конфигурации...
MsgRefreshDownloadingItemsWithOffsetAndPercents,%@: %d товары (%d%%)
MsgProductGroups,Группы продуктов
MsgCustomerGroups,Группы клиентов
MsgShipRates,Тарифы на доставку
MsgModifierClasses,Классы модификаторов
MsgModifierDiscounts,Скидки модификаторов
MsgProductCategories,Категории продуктов
MsgUpsellCombos,Комб. предложения
MsgAttributes,Атрибуты
MsgAttributeValues,Значения атрибутов
MsgIngredients,Ингредиенты
MsgCallNames,Имена для обращения
MsgTaxes,Налоги
MsgTaxTables,Налоговые таблицы
MsgTableTags,Тэги столиков
MsgProductClasses,Классы/группы/виды продуктов
MsgCustomMenus,Пользовательское меню
MsgDisabledInTrainingMode,Данная функция не доступна в режиме обучения.
MsgDisabledInTrainingModeAppleStore,Данная функция не доступна.
MsgIdentityProtectionTitle,Защита от хищения персональных данных
MsgIdentityProtectionVerify,Пожалуйста
MsgDateErrors,Неверные даты
MsgDateRangeErrors,Отчетный период составляет более недели.
MsgOrdersReportWarningNoData,Некоторые из ваших заказов могут быть открыты или не синхронизированы с сервером
MsgOrdersReportWarningUnsyncedOrders,Некоторые из ваших заказов не синхронизированы с сервером
MsgOrdersReportWarningOpenOrders,У вас есть открытые заказы:
MsgOrdersReportManagerWarningOpenUnsyncedOrders,У вас имеются открытые заказы
MsgOrdersReportManagerWarningOpenOrders,У вас имеются открытые заказы
MsgOrdersReportManagerWarningUnsyncedOrders,Некоторые заказы не синхронизированы с сервером
MsgOrdersReportManagerWarningNoData,Несколько заказов могут быть открыты или не синхронизированы с сервером
MsgClockInToAccessError,Сотрудник не зарегистрировал время прихода
MsgClockInToAccessClockIn,Время прихода
MsgClockInToAccessManagerOverride,Корректировка менеджером
MsgClockInToAccessOverride,Скорректировать
MsgClockInToAccessCancel,Отмена
MsgClockInToAccessLoginVerification,Проверка входа в систему...
MsgClockInDisableClockInCheck,Отключить проверку времени прихода
MsgClockInForHours,На период (часов)
MsgBarTabCardReaderLostConnection,Не удалось подключиться к кардридеру.\nПовторить попытку?
MsgDataStorageDbBackup,Резервная копия базы данных: %@
MsgDataStorageDbPosStations,База данных с POS-станции %@
MsgDataStoreUnableToFindPos2v,Не удалось найти pos2v.sqlite.
MsgDataStorageConfigureEmail,Настройте адрес электронной почты для использования этой функции.
MsgDataStorageFailedToCreateWritableDb,Не удалось создать файл базы данных для записи. Ошибка «%@».
MsgDataStorageDataFetchFailed,Ошибка при извлечении данных
MsgDataStorageDatabaseTooBigToUpload,Размер файла превышает ограничение на вложения электронной почты. База данных загружена на сервер.
MsgDataStorageReportsSales,ПРОДАЖИ
MsgDataStorageReportsTotalOrders,Итого заказов
MsgDataStorageReportsAverageSale,Средний чек
MsgDataStorageReportsTaxableSales,Обл. нал. продажи
MsgDataStorageReportsNonTaxableSales,Необл. нал. продажи
MsgDataStorageReportsCRVCharges,Сборы CRV
MsgDataStorageReportsTotalProductSales,ВСЕГО ПРОДАЖ
MsgDataStorageReportsTotalSalesLower,Всего продаж
MsgDataStorageReportsItemDiscounts,Скидки на позиции
MsgDataStorageReportsOrderDiscounts,Скидки на заказы
MsgDataStorageReportsCoupons,Купоны
MsgDataStorageReportsTotalDiscounts,Итого по скидкам
MsgDataStorageReportsNetSales,Чистые продажи
MsgDataStorageReportsSalesTax,Налог с продаж
MsgDataStorageReportsSurcharges,Доп. сборы
MsgDataStorageReportsRoundingDeltas,Округления
MsgDataStorageReportsServiceCharges,Плата за услуги
MsgDataStorageReportsTaxRebate,Возврат налога
MsgDataStorageReportsTotalTaxes,ИТОГО НАЛОГОВ
MsgDataStorageReportsDepositTotal,Депозиты
MsgDataStorageReportsApplDepTotal,Учт. депоз.
MsgDataStorageReportsAppliedDepositsTotal,Учт. депоз.
MsgDataStorageReportsTotalTax,Итого налогов
MsgDataStorageReportsNetToAccountFor,ЧИСТАЯ ПРИБЫЛЬ ПО
MsgDataStorageReportsNetToAccountForLower,Чистая прибыль по
MsgDataStorageReportsVoids,АННУЛИРОВАНИЯ
MsgDataStorageReportsVoidedItems,Аннулированные позиции
MsgDataStorageReportsVoidedTotal,Итого аннулировано
MsgDataStorageReportsReturns,ВОЗВРАТЫ
MsgDataStorageReportsReturnedItems,Возвращенные позиции
MsgDataStorageReportsReturnedTotal,Итого возвратов
MsgDataStorageReportsRefunds,ВОЗМЕЩЕНИЯ
MsgDataStorageReportsRefundsNumber,Кол-во возмещений
MsgDataStorageReportsRefundsTotal,Итого возмещений
MsgDataStorageReportsComps,БЕСПЛАТНО
MsgDataStorageReportsCompsItems,Comp товары
MsgDataStorageReportsCompsTotal,Сумма бесплатных товаров
MsgDataStorageReportsExchanges,БИРЖИ/ обмен
MsgDataStorageReportsExchangedTotal,Всего обменено
MsgDataStorageReportsCashAdjustments,КОРРЕКТИРОВКИ НАЛИЧНЫХ СРЕДСТВ
