LocaleIdentifier,ET
MsgLoyaltyTiers,Lojaalsustasemed
MsgLoyalty,Lojaalsus
MsgRewardDiscountsHaveConflicts,Väljavalitud hinnaalandused on kohaldatud hinnaalandustega vastuolus. Kas jätkata siiski?
MsgRewardEnterPointsToRedeem,Sisestage punktid lunastamiseks
MsgRewardCardsPointsRedeemed,Lunastatud punktid
MsgRewardCardsInitiateRedemptionTransactionToPayWithPoints,Lojaalsuspunktidega tasumiseks käivitage lunastustöötlus
MsgReceiptTexts,Kviitungi tekstid
MsgRewardCardsTIDIsNotSet,Toiming ebaõnnestus.\nTagaserveril ei ole seatud PinPad või POS-jaama TID.
MsgLoyaltyNoLoyaltyOffersFoundForAvailableLoyaltyBalance,Kasutatavale lojaalsussaldole ei leitud ühtegi pakkumust
MsgRewardAutomaticLoyaltyGeneration,Automaatne püsikliendi loomine
MsgRewardNewNumber,Uus püsikliendi number %@ on\n%@
MsgRewardFetchingAwardingInformation,Laoseisuteabe toomine
BtnUpdateLinkedCard,Uuenda seotud kaarti
MsgGenPaymentType,Makseviis
MsgGenPaymentCCNum,Krediitkaardi nr
MsgGenPaymentEnterTipAmounts,Sisestage jootraha summad
MsgGenPaymentTipAmount,Jootraha summa
MsgGenPaymentCurrentTip,Praegune jootraha
MsgGenPaymentTipTransactionCountSingular,Krediiditehingud
MsgGenPaymentAddTip,Lisa jootraha
MsgGenPaymentAddTip:,Lisa jootraha:
MsgGenPaymentDeposit,Deposiit
MsgGenPaymentGift,Kingitus
MsgGenPaymentCash,Sularaha
MsgGenPaymentAddTipsForOfflineP,Jootrahade lisamine võrguühenduseta maksele pole lubatud.\nProovige jootraha hiljem lisada.
MsgGenPaymentAddTipsForCapturedP,Jootrahade lisamine hõivatud maksele pole lubatud.
MsgGenPaymentQuestPayment,Külastaja makse
MsgGenPaymentPerfPayOnPinPad,Teostage makse PinPadis käsitsi.
MsgGenPaymentContactingMercuryPay,MercuryPayga ühenduse loomine
MsgGenPaymentUnknownPOSStationType,Tundmatu POS-JAAMA tüüp!
MsgGenPaymentOffline,Võrguühenduseta
MsgGenPaymentCreditCardOfflineTransactionsMode,"Maksekaardi tehingud on lülitatud offline-režiimi. Tehingud töödeldakse, kui süsteem on tagasi online-režiimis"
MsgGenPaymentProcessorCannotBeReachedOfflinePaymentsAreDisabled,Maksetöötlejat ei saa kätte.  Võrguühenduseta maksed on keelatud.\nVõtke ühendust juhatajaga.
MsgGenPaymentRequestedAmountIsMoreThanAllowedOThreshold,Olete võrguühenduseta režiimis.  Nõutud tasu on suurem kui lubatud piirmäär %@.\nSisestage selle tasu kinnitamiseks administraatori PIN-kood.
MsgGenPaymentOfflinePaymentsTotalIsMoreThanAllowedOThreshold,Olete võrguühenduseta režiimis. Võrguühenduseta tasud ületavad kogusumma piirmäära %@.\nSisestage selle tasu kinnitamiseks administraatori PIN-kood.
MsgGenPaymentOfflineYouCanRetryProcessingOrAcceptThePayment,Süsteem on võrguühenduseta. Võite proovida maksetöötlejaga uuesti ühendust võtta või kinnitada makse võrguühenduseta ja töödelda seda hiljem.
MsgGenPaymentThisTerminalTemporarilyOfflineOrUnableToContactPaymentHost,See terminal on ajutiselt võrgust väljas või me ei suuda luua kontakti maksetöötlejaga. Palun proovi makse uuesti töödelda või luba võrguväline makse ning töötle makset hiljem.
MsgGenPaymentOfflinePaymentsHaveBeenSuspendedAsTheMaximumValueOfDeclinedPaymentsHasBeenReached,Võrguühenduseta maksed on peatatud
MsgGenPaymentManEntrNotSuppOffl,Käsitsi sisestamist ei toetata võrguühenduseta režiimis. Proovige muud makseviisi.
MsgGenPaymentEmptyMessage,Tühi teade
MsgGenPaymentTakingLonger,Võtab oodatust kauem aega... Oodake vähemalt 60 sekundit.
MsgGenPaymentPaymentStatus,Makse olek
MsgGenPaymentDuplicate,Duplikaat
MsgGenPaymentCheckSettings,Kontrollige seadeid
MsgGenPaymentMagTekError,MagTeki tõrge
MsgGenPayment3773NotSupp,(3773) Ei ole tuge
MsgGenPaymentiPP350USAEPAY,iPP350 USA EPAY
MsgGenPaymentNotSupported,Ei toetata
MsgGenPaymentMercuryPayFailed,MercuryPay nurjus
MsgGenPaymentTrack2empty,Rada 2 on tühi
MsgGenPaymentCardSwipeLaneIDEmpty,Magnetkaardilugeja LaneID parameeter on tühi.\nMäärake magnetkaardilugejale LaneID.
MsgGenPaymentKSNempty,KSN on tühi
MsgGenPaymentReturnToWrongAccount,Püütakse tagastada valele kontole.
MsgGenPaymentDebitSupportForRetailAndGrocery,Deebetmaksed on toetatud üksnes Jaemüügile ja Kauplusele!\nValige teine tasumisviis.
MsgGenPaymentSendingPayment,Makse saatmine
MsgGenPaymentGiftCardError,Kinkekaardi tõrge
MsgGenPaymentGiftCardActivate,Aktiveeri kinkekaart
MsgGenPaymentGiftCardCreateOrAdd,Looge või lisage väärtust uuele või olemasolevale kinkekaardile: %.02f?
MsgGenPaymentStoreCreditActivate,Aktiveerige poekrediit
MsgGenPaymentStoreCreditReceiptType,Valige kviitungi tüüp.
MsgGenPaymentStoreCreditCreate,Loo poekrediit
MsgGenPaymentStoreCreditPay,Maksa poekrediidiga
MsgGenPaymentGiftCardRechargeTitle,Täienda kaardil olevaid vahendeid
MsgGenPaymentGiftCardRechargeText,Lisa vahendeid
MsgGenPaymentGiftCardActivatePrompt,Kas soovite luua uue kinkekaardi (%@) või lisada %@ seotud kinkekaardile %@?
MsgGenPaymentReEnterAValidCardNr,Sisestage kehtiv kaardi number.
MsgGenPaymentGiftCardBalance,Kinkekaardi saldo
MsgGenPaymentPleaseEnterValidAmount,Sisestage kehtiv summa.
MsgGenPaymentFailedActivateGiftCard,Kinkekaardi aktiveerimine nurjus.
MsgGenPaymentFailedToVoidGiftCard,Kinkekaardi tühistamine nurjus.
MsgGenPaymentGiftActivationNotSupported,Kingi aktiveerimisel pole tuge.
MsgGenPaymentGiftCardInfo,Kinkekaardi teave
MsgGenPaymentStoreCreditInfo,Poekrediidi teave
MsgGenPaymentGiftCardActivationSuccessful,Aktiveerimine õnnestus
BtnGenPaymentAddValue,Lisa väärtus
MsgGenPaymentAmountFormat,Summa
MsgGenPaymentTipFormat,Jootraha
MsgGenPaymentUserNotManagerOrOwner,Kasutajal pole administraatori õigusi.
MsgGenPaymentTipAmountOver100,Jootraha summa on üle 100%.
MsgGenPaymentTipAmountOver100ManagerCard,Jootraha summa on üle 100%.
MsgGenPaymentAutoCaptureError,Automaathõive tõrge
MsgGenPaymentACTimeFormatInvalid,Automaathõive ajavorming on vale (%@)! Kontrollige oma tagaliidese seadeid.
MsgGenPaymentUnableConnWithProcessor,Töötlejaga ei saa ühendust. Proovige muud makseviisi.
MsgGenPaymentCaptureAllowedJustOnMain,Saate tehinguid hõivata ainult peamises kassajaamas.
MsgGenPaymentRequestedOperationNotSupportedContactPaymentExpress,Nõutud toimingut ei toetata. Võtke ühendust Payment Expressiga.
MsgGenPaymentProcessingAction,Toimingu töötlemine
MsgGenPaymentConfirmTipAmount,Kinnita jootrahasumma
MsgGenPaymentTipGreaterThanTotal,Sisestatud jootrahasumma on suurem kui makse kogusumma.
MsgGenPaymentDriveOff,Ärasõit
MsgGenPaymentFleetCard,Autopargi kaart
MsgGenPaymentManualFleetCard,Autopargi kaart
MsgGenPaymentManualFleetCardAuthorization,Autoriseerimine
MsgGenPaymentManualFleetCardVoucher,Aut.-number
MsgGenPaymentMaximumNumberOfProducts,Sellele tehingutüübile on lubatud vaid %d tooted
MsgGenPaymentOnlyOneFuelProductIsAllowed,Sellele tehingutüübile on lubatud vaid 1 kütusetoode
MsgGenPaymentNoProductCodeFoundForItem,Artiklile ei leitud tootekoodi
MsgGenPaymentOnlyOneRetailProductIsAllowed,Sellele tehingutüübile on lubatud vaid 1 jaemüügi toode
MsgGenPaymentRemovesDiscounts,"Muutes tellimuse tüübi %@, tarnetasu eemaldatakse sellest tellimusest.\nKas soovid jätkata?"
MsgVoidVoidError,Annulleerimistõrge
MsgVoidFailedUpdPaymentRec,Maksekirje uuendamine nurjus.
MsgVoidNoResponse,Vastust pole
MsgVoidVoidFailed,Annulleerimine nurjus
MsgVoidReadThis,Lugege seda
MsgVoidRefundPayBeforeVoid,Tagastage %@ makse enne üksus(t)e annulleerimist.
BtnVoidRefund,Tagasimakse
MsgVoidRefundPaymentsOfAmount,Tagasta maksed %@
MsgVoidNoThanks,"Ei, aitäh"
MsgVoidQuestPayment,Külastaja makse
MsgVoidReferPinPad,Vaadake sõrmistikku
MsgVoidPotFraudWarn,Potentsiaalse pettuse hoiatus.  Makse on tehtud kahe viimase päeva jooksul.
MsgVoidLevelupRefundFailed,Tase üles tagasimakse nurjus
MsgVoidRefundError,Tagasimaksetõrge
MsgVoidAdyenRefundError,Adyeni tagasimaksetõrge
MsgVoidNoTransNrFoundForRefund,Tagasimakse tegemiseks ei leitud tehingu numbrit.
MsgVoidRefundNotPossiblePaymentIsOffline,"Tagasimaksed pole praegu võimalikud.\nMaksed on võrguühenduseta.\nTehke tagasimakse, kui ühenduvus on taastunud."
MsgVoidRefundInTrainingMode,Koolitusrežiimis tagastatakse üksnes sularahamaksed
MsgVoidMercuryPayRefundError,MercuryPay tagasimaksetõrge
MsgVoidBadgeRefundFailed,Märgi tagasimakse nurjus
MsgVoidChargeAmt,Soovitatav\ntagasimakse
MsgVoidRefundAmt,Tagasimakse\nsumma
MsgVoidTipAmount,Jootraha\nsumma
MsgVoidRefundTip,Tagasimakstav\njootraha
MsgVoidAmountRemaining,Järelejäänud summa:
MsgVoidPaymentRefundCannotBeMoreChargeAmount,Tagasimakse summa ei tohi ületada tasutavat summat.
MsgVoidTotalRefund,Kokku tagasimakse
MsgVoiding,Annulleerimine
MsgRefunding,Tagastan
MsgVoidPayPalRefundFailed,Tagasimakse PayPali kaudu ebaõnnestus
MsgVoidPerformingRefundForOfflinePayment,Võrguühenduseta makse tagasimakse tegemine...
MsgVoidRefundNotPossiblePaymentProcessingInProgress,Tagasimakse pole tehingu puhul praegu võimalik – %@.\nMakse töötlemine on pooleli.\nProovige hiljem uuesti.
MsgVoidRefundNotPossiblePaymentIsOfflineAndCouldBeProcessedOnlyOnMain,Tagasimakse pole tehingu puhul praegu võimalik – %@.\nMakse on võrguühenduseta ja seda saab töödelda ainult põhikassajaamas.
MsgVoidRefundPaymentIsCurrentlyOfflineRefundTipsToMakeFullRefund,Makse on praegu võrguühenduseta.\nTäieliku tagasimakse tegemiseks tagastage jootraha.
MsgVoidRefundTryingToRefundDeclinedPayment,"Püüate tagasi maksta tagasilükatud krediitkaardi numbrile.\n(number: XXXX%@, summa: %.2f)\nMakse tagastatakse täielikult.\nKas jätkata?"
MsgVoidReturnForItemPurchasedMoreThanDays,"%@ osteti rohkem kui %d päev(a) tagasi.  Sisestage administraatori PIN, et teha järgmist: %@."
MsgVoidReturnForItemsPurchasedMoreThanDays,"Järgmised tooted osteti rohkem kui %d päev(a) tagasi.  Sisestage administraatori PIN, et teha järgmist: %@."
MsgVoidVoid,annulleerimine
MsgVoidReturn,tagastamine
MsgVoidVoidReturn,tagastamine
MsgVoidComps,koondid
MsgVoidComp,Comp
MsgVoidExchange,vahetamine
MsgVoidTheCashDrawerDoesNotHaveEnoughMoney,Kassasahtlis pole piisavalt sularaha.
MsgSyncPostStationFullSync,Põhikassajaamaks saab määrata ainult täielikuks sünkroonimiseks konfigureeritud kassajaamu.
MsgSyncHasDirtyOrders,Sellel jaamal on sünkroonimata tellimusi. Sünkroonige need enne põhikassajaama muutmist
MsgSyncSynchronizing,Sünkroonimine
MsgSyncMainStationNotFound,Põhikassajaamu praegu ei leita. Selle jaama määramine põhijaamaks võib põhjustada andmekadu. Kas jätkata?
MsgSyncNotSyncing,Ei sünkroonita
MsgSyncPoorConnection,Kehv ühendus (%.0f%%)
MsgSyncMainTransferFailPaymentsProcessingMismatch,Põhikassajaama ei saanud muuta. Töödeldud maksete arv ei kattu. Proovige põhikassajaama veel üks kord muuta.
MsgSyncMainTransferFailPaymentsProcessingInProgress,Põhikassajaama ei saanud muuta. Maksete töötlemine on pooleli. Proovige põhikassajaama hiljem muuta.
MsgSyncKioskNotSyncing,Kiosk ei tööta. Jätkake tellimisega kassiiri juures.
MsgSyncMainNotReachableLong,Põhikassajaama ei ole saanud %d minuti jooksul kätte. Kontrollige võrku ja põhikassajaama.
MsgSyncStateSyncing,SÜNKROONITAKSE
MsgSyncStateUnsynced,SÜNKROONIMATA
MsgVoidReturnToInventory,Tagasta lattu
MsgVoidReturnToInventoryQuestion,Kas soovite need üksused lattu tagastada?
MsgOrderSearchInvalidEstablishment,Selles asutuses ei leitud sobiva ID-ga tellimust.
MsgOrderSearchNoResults,Selle tellimuse ID-ga tehingut ei leitud.
MsgOrderSearchFailedToLoadProductDetails,Toote üksikasjade allalaadimine ebaõnnestus. Palun proovige uuesti.
MsgFullProductIsNotLoaded,Toote üksikasjad tuleks alla laadida. Kas jätkata?
MsgOrderSuborderLoaded,Alamtellimust ei saa avada.
MsgOrderCantMergeHasPayments,Tellimust ei saa liita
MsgOrderCantMergeIsUnsynced,Tellimust ei saa liita
MsgOrderCantMergeClosed,Tellimust ei saa liita
MsgOrderCantMergeInvoice,Tellimust ei saa arvega liita.
MsgOrderLoading,Laadimine
MsgOrderSaving,Salvestamine
MsgOrderOrderWasDeleted,Tellimus kustutati peamisest kassajaamast ja seda ei saa tagaliidese serverist praegu laadida.
MsgOrderRemoveSurcharge,Eemalda lisatasu
MsgOrderRemoveSurchargeToo,Kas eemaldada ka lisatasu?
MsgOrderFakeOrders,Võltstellimused
MsgOrderHeldOrders2,Ootel tellimused
MsgOrderTodaysOrders,Tänased tellimused
MsgOrderFindOrderByID,Leia tellimus ID järgi
MsgOrderFindOrderByCallNumber,Leia tellimus kõne numbri järgi
MsgOrderCloseHeldOrders,Sulge ootel tellimused
MsgOrderScanBarCode,Skannige vöötkood
MsgOrderinvalidScanBarCode,Valed skanniandmed. Proovige uuesti.
MsgOrderOnlineOrders,Võrgutellimused
MsgOrderNewOnlineOrder,Uus võrgutellimus
MsgOrderNewOnlineOrders,Uued võrgutellimused
MsgOrderLoginToViewOnlineOrders,Vali üks või mitu tellimust
MsgOrderOutstandingInvoices,Tasumata arved
MsgFromServer,Serverist
MsgOrderMergeOrder,Liida tellimus
MsgOrderDeliveryManagement,Kohaletoimetamise haldus
MsgOrderDeliveryCheckin,Kohaletoimetamise tasu
MsgOrderFindOrdersByCreditCard,Leia tellimused krediitkaardi järgi
MsgOrderFindOrdersByPrintID,Leia tellimus ID järgi
MsgOrderEnterPrintID,Sisestage ostutellimuse ID nr
MsgFindLinkedOrder,Leia seotud tellimused
MsgOrderFindOrders,Leia tellimused
MsgOrderWantToCloseAllHeldOrders,Kas soovite kõik ootel tellimused kindlasti sulgeda?
MsgOrderPartiallyPaidOrdersNotClosed,"Järgmisi tellimusi ei suletud, kuna nende eest saadud maksed ja müügitulem lange kokku.  Lahendage nende tellimustega seonduv käsitsi:\n\n"
MsgOrderNotActivatedGiftOrdersNotClosed,"Järgmisi tellimusi ei suletud, kuna tellimusel on aktiveemata kinkekaart (kinkekaardid).  Lahendage nende tellimustega seonduv käsitsi:\n\n"
MsgOrderEnterOrderID,Sisestage tellimuse ID
MsgOrderEnterOrderIDorScanBarcode,Sisestage tellimuse ID või skannige vöötkood
MsgOrderEnterLast4CardDigits,Sisestage kaardi 4 viimast numbrit
MsgOrderReverse,Pööra ümber
MsgOrderByTime,Aja järgi
MsgOrderByOwner,Omaniku järgi
MsgOrderByOrderId,Tellimuse ID järgi
MsgOrderFilteredOrders,Filtreeritud tellimused
MsgOrderUnprintedOrders,Printimata tellimused
MsgOrderThereIsNoAvailableBartab,Saadaolevaid baarikohti pole.
MsgOrderLinkingCardToOrder,Kaardi sidumine...
MsgOrderPrintOpenChecks,Prindi avatud tšekid
MsgManageCustomersSearchFieldPlaceHolderV2,"Otsing nime, ettevõtte, telefoninumbri, meiliaadressi, viitekoodi järgi"
MsgOrderHistSearchFieldPlaceHolder,Otsi tellimuse ID
MsgOrderHistSearchFieldPlaceHolderInvoice,Otsi arve ID
MsgOrderHistSearchFieldPlaceHolderWeb,Otsi tellimuse ID
MsgOrderHistSearchFieldPlaceHolderCallNumber,Otsi kõne numbri
MsgOrderHistSearchFieldPlaceHolderRevelLite,Otsi tellimuse ID
MsgOrderHistOrderID,Tellimuse nr
MsgOrderHistInvoiceID,Arve nr
MsgOrderHistTableID,Laua nr
MsgOrderHistCustomerName,Klient
MsgOrderHistDateOpened,Avamise kuupäev
MsgOrderHistDatePlaced,Loomise aeg
MsgOrderHistDateCreated,Loomise aeg
MsgOrderHistDiningType,Eine tüüp
MsgOrderHistDateDue,Tähtaeg
MsgOrderHistEmployeeName,Töötaja nimi
MsgOrderHistOrderTotal,Kokku
MsgOrderHistPrintId,Prindi
MsgOrderHistBar,Baar nr %d
MsgOrderInvoiceToOrderConfirmation,See loob arvest tellimuse. Kas olete kindel?
MsgOrderFullyPaidInvoiceToOrderConfirmation,See arve on täielikult tasutud.\nKas muuta arve tellimuseks?
MsgManageCustomersPhoneCaption,Telefoninumber
MsgManageCustomersRefCodeCaption,Viitenr Kood
MsgWarningInputAmountofCash,Sisestage tellitud sularahasumma
MsgOrderScanItemNotFoundTitle,Artiklit ei leitud
MsgOrderScanItemNotFound,"Skaneeritud artikkel ei lange kokku ühegi sellel tellimusel järjenumbrit ootava artikliga. Kuna see tellimus on lõpetatud ja makstud, ei saa tellimusele lisada ühtki uut artiklit. Uute kaubaartiklite lisamiseks alustage uut tellimust."
MsgOrderProductCannotBeSoldAtThisTime,%@ ei saa hetkel müüa.
MsgSomeModifiersNoLongerAvailable,See teenus ega määratud töötaja pole enam saadaval.
MsgOrderTotalItems,Üksusi kokku
MsgOrderLastOrdered,Viimati tellitud
BtnOrderLastNewBarTab,Uus märgis
MsgCustomerManageCustomers,Klientide haldamine
MsgCustomerSelectCustomerTitle,Vali klient
BtnCustomerToOrder,Tellimusele
BtnCustomerDisplayHistory,Näita ajalugu
BtnCustomerManageAddresses,Aadresside\nhaldamine
MsgCustomerFilter,Filtreeri
MsgCustomerEnterName,Sisestage nimi
MsgCustomerEnterPhone,Sisestage telefon
MsgCustomerEnterRef,Sisestage viitekood
MsgCustomerEnterEmail,Sisestage e-post
MsgTitleAddNewCustomer,Lisa uus klient
BtnCustomerAddNew,Lisa uus
BtnAddAddress,Lisa aadress
BtnAddVIN,Lisa VIN
BtnCustomerNewCustomer,Uus klient
BtnRemoveFromOrder,Eemalda kohaletoimetamisest
MsgCustomerLinkCustomer,Seo klient
MsgCustomerLink,Seo
MsgCustomerSelectCallname,Valige kõne nimi
MsgCustomerName,Nimi
MsgCustomerSurname,Perekonnanimi
MsgCustomerAddress,Aadress
MsgCustomerCity,Linn
MsgCustomerState,Osariik
MsgCustomerStateProvince,Osariik/provints
MsgCustomerZipCode,Sihtnumber
MsgCustomerEmail,Meiliaadress
MsgCustomerUserName,Kasutajanimi
MsgCustomerPhoneNumber,Telefoninumber
MsgCustomerRefCode,Viitekood
MsgCustomerGroup,Kliendirühm
MsgCustomerLoyaltyCardNumber,Kliendikaardi number
MsgLicNumber,Litsentsi number
MsgCustomerGroupNone,Puudub
MsgCustomerNotes,Märkused
MsgCustomerRegisterLoyalty,Registreeri püsiklient
MsgCustomerUpdateLoyalty,Uuenda püsiklienti
MsgCustomerCreditCardXXXX,Krediitkaart: XXXX XXXX XXXX %@
MsgCustomerNoCreditCard,Krediitkaarti pole
MsgCustomerUpdateCreditCard,Uuenda krediitkaarti
MsgCustomerSelectCustomer,Valige klient.
MsgCustomerSelectCall,Valige kõne nimi.
MsgCustomerFillAllRequiredFields,Täitke kõik nõutud väljad.
MsgCustomerBirthDate,Sünnikuupäev
MsgCustomerFirstName,Eesnimi
MsgCustomerLastName,Perekonnanimi
MsgCompanyName,Ettevõtte nimi
MsgAddressName,Aadress
MsgCustomerStreetAddress,Aadress
MsgCustomerCountry,Riik
MsgCustomerBillingAddress,Arveldusaadress
MsgCustomerShippingAddress,Tarneaadress
MsgCustomerCurrentBillingAddress,Praegune arveldusaadress
MsgCustomerCurrentShippingAddress,Praegune tarneaadress
MsgCustomerCurrentShippingDeliveryAddress,Praegune tarne-\nkohaletoimetamise aadress
MsgCustomerManageAddresses,Aadresside haldamine
MsgCustomerManageAddressesWithName,Kliendi %@ %@ aadresside haldamine
MsgCustomerEditCustomer,Muuda klienti
MsgCustomerAddressEmpty,Aadressikirje on tühi. Sisestage või kustutage aadress.
MsgCustomerDeleteAddressConfirmation,Kas soovite selle aadressi kindlasti kustutada?
MsgCustomerPhone,Telefon
MsgCustomerGroupName,Rühma nimi
MsgCustomerRefNumber,Viitenr
MsgCustomerPostCode,Sihtnumber
MsgCustomerEmptyAddress,Tühja aadressi ei saa lisada/uuendada.
MsgCustomerPhoneInvalid,Telefoninumbri pikkus ei tohi olla üle 20 täheruumi
MsgCustomerEmailAlreadyExist,E-posti aadress on juba olemas.
MsgCustomerPhoneNumberAlreadyExist,Telefoninumber on juba olemas.
MsgCustomerRefCodeAlreadyExist,Viitekood on juba olemas.
MsgCustomerInvalidEmailFormat,Kehtetu meilivorming.
MsgCustomerZipCodeError,Kliendi %@ sihtnumber %@ asub väljaspool meie kohaletoimetamispiirkonda.
MsgCustomerUnlink,Tühista seos
MsgCustomerMultipleCustomers,Leiti mitu kliendivastet
MsgCustomerGiftRewardCard,Kinke-/preemiakaart
MsgCustomerExpirationDate,Lõpptähtaeg
MsgCustomersContractValid,Kliendi %@ leping on kehtiv
MsgCustomersContractExpiredOnDate,Kliendi %@ leping aegus %@
MsgCustomerVINInfo,VIN-i info
MsgCustomerHotelInfo,Süsteemi teave
MsgCustomerAddressInfo,Aadressi info
MsgCustomerVINOwner,Omanik
MsgCustomerVIN,VIN
MsgCustomerPlateNum,Numbrimärk nr
MsgCustomerMake,Mark
MsgCustomerModel,Mudel
MsgCustomerYear,Aasta
MsgCustomerOdometer,Odomeeter
MsgCustomerDeleteVehicleConfirmation,"Kas olete kindel, et soovite selle sõiduki kustutada?"
MsgCustomerScanVINTitle,Skaneeri VIN
MsgCustomerScanVINMessage,Skaneerige VIN kohe praegu või sisestage VIN käsitsi.
MsgBarcodeEnterVIN,Sisesta VIN
MsgCustomerVINFetchFailed,Sõiduki andmete hankimine VINtelligence'ist ebaõnnestus. Kontrollige internetiühendust ja oma VINtelligence'i volitusi.
MsgCustomersNewData,Uued andmed
MsgCustomersOldData,Vanad andmed
MsgCustomersHaveInactiveCustomerWith,"Teil on passiivne klient, kellel on %@.\nMilliseid andmeid soovite temaga seonduvalt reaktiveerida?"
MsgCustomersReactivateFailed,Kliendi reaktiveerimine ebaõnnestus.
MsgCustomersPromptToEditInvalidCustomer,Klient on kehtetu. Kas redigeerida kliendi andmeid?
MsgCustomersShowCustomerHistory,Näita kliendiajalugu
MsgCustomerServerSearching,Serveri otsimine...
MsgCustomerServerSearchTooShort,Peab olema vähemalt %ld sümbolid serveri otsimiseks.
MsgCustomerServerSearch,Serveri otsing
MsgGenServicesPhoto,Fotode muutmise režiim
MsgGenServicesAddPhoto,Lisage punktid
MsgGenServicesAssociatePhotoProduct,Seostage foto tootega.
MsgGenServicesCamera,Kaamera
BtnGenServicesPhotoLibrary,Fototeek
MsgUploadingImage,Laadin üles kujutist
MsgGenServicesCameraNotAvailable,Kaamera pole saadaval
