LocaleIdentifier,SP
MsgRewardsPointsToNextReward,Necesitas solo %.2f más %@ puntos para ganar tu siguiente recompensa
MsgRewardsWaitingForRedemption,Tienes %@ puntos esperando redención 
MsgRewardsDontForgetToRedeem,No olvides de redimir tus recompensas por descuentos
MsgRewardsAvailable,Recompensas disponibles
MsgPurchaseRewards,Recompensas por compra
MsgPointRewards,Puntos de recompensas
MsgItemRewards,Recompensas por artículo
MsgVisitRewards,Recompensas por visita
MsgPurchasePoints,Puntos por compra
MsgRewardPoints,Puntos de premios
MsgItemPoints,Puntos por artículo
MsgVisitPoints,Puntos por visita
MsgNoRewardsAvailable,No hay recompensas disponibles
MsgLoyaltyTiers,Loyalty Tiers
MsgLoyalty,Loyalty 
MsgRewardDiscountsHaveConflicts,Descuentos seleccionados tienen conflictos con descuentos aplicados. ¿Proceder de todas formas?
MsgRewardEnterPointsToRedeem,Ingresar puntos para redención
MsgRewardCardsPointsRedeemed,Puntos redimidos
MsgRewardCardsInitiateRedemptionTransactionToPayWithPoints,Por favor inicia proceso de redención para pagar con puntos de lealtad
MsgReceiptTexts,Textos de recibo
MsgRewardCardsTIDIsNotSet,Acción ha fallado.\nPinPad o estación POS TID no está establecido en Consola Web.
MsgLoyaltyNoLoyaltyOffersFoundForAvailableLoyaltyBalance,No hay ofertas encontradas para balance de lealtad disponibles 
MsgRewardFetchingAwardingInformation,Obtencion de informacion del inventario
BtnUpdateLinkedCard,Actualizar tarjeta vinculada
MsgGenPaymentType,Forma de Pago
MsgGenPaymentCCNum,Núm. CC
MsgGenPaymentEnterTipAmounts,Ingrese Cantidad de Propina
MsgGenPaymentTipAmount,Cant. Propina
MsgGenPaymentCurrentTip,Propina Actual
MsgGenPaymentTipTransactionCountSingular,Transacciones de Credito
MsgGenPaymentAddTip,Agregar Propina
MsgGenPaymentAddTip:,Agregar propina:
MsgGenPaymentDeposit,Deposito
MsgGenPaymentGift,Regalo
MsgGenPaymentCash,Efectivo
MsgGenPaymentAddTipsForOfflineP,Adding tips for offline payment is not allowed.\nPlease try to add later.
MsgGenPaymentAddTipsForCapturedP,Adding tips for captured payment is not allowed
MsgGenPaymentQuestPayment,Pago con Quest
MsgGenPaymentPerfPayOnPinPad,Please perform the manual payment on the Pin Pad
MsgGenPaymentContactingMercuryPay,Contactando a MercuryPay
MsgGenPaymentUnknownPOSStationType,Unknown POS STATION type!
MsgGenPaymentOffline,Sin conexión
MsgGenPaymentCreditCardOfflineTransactionsMode,Transacciones de tarjeta de crédito ha sido cambiado con modo sin conexión. Transacciones se procesarán cuando el sistema vuelve a conectarse
MsgGenPaymentProcessorCannotBeReachedOfflinePaymentsAreDisabled,No puede comunicarse con el procesador de pagos .  Los pagos sin conexión están deshabilitados.\nContacte a su gerente.
MsgGenPaymentRequestedAmountIsMoreThanAllowedOThreshold,Usted está en modo sin conexión.  El cargo solicitado excede el límite permitido de %@\nIngrese un NIP de administrador para aprobar este cargo.
MsgGenPaymentOfflinePaymentsTotalIsMoreThanAllowedOThreshold,Usted está en modo sin conexión. Los cargos sin conexión han excedido el límite total de %@.\nIngrese un NIP de administrador para aprobar este cargo.
MsgGenPaymentOfflineYouCanRetryProcessingOrAcceptThePayment,El sistema está sin conexión. Puede volver a intentar contactar al procesador de pagos o aceptar el pago sin conexión y procesarlo después.
MsgGenPaymentOfflinePaymentsHaveBeenSuspendedAsTheMaximumValueOfDeclinedPaymentsHasBeenReached,Los pagos sin conexión han sido suspendidos porque se alcanzó el valor máximo de pagos rechazados.  Vaya a Gerente/Pagos rechazados y procese los pagos rechazados para restablecer los pagos sin conexión.
MsgGenPaymentManEntrNotSuppOffl,Manual Entry not supported offline
MsgGenPaymentEmptyMessage,Mensaje vacío
MsgGenPaymentTakingLonger,Ha tardado más de lo esperado... Espere al menos 60 segundos.
MsgGenPaymentPaymentStatus,Estado del pago
MsgGenPaymentDuplicate,Duplicar
MsgGenPaymentCheckSettings,Comprobar configuración
MsgGenPaymentMagTekError,Error de MagTek
MsgGenPayment3773NotSupp,(3773) Not Supported
MsgGenPaymentiPP350USAEPAY,iPP350 USA EPAY
MsgGenPaymentNotSupported,No compatible
MsgGenPaymentMercuryPayFailed,Error de MercuryPay
MsgGenPaymentTrack2empty,Pista 2 Vacía
MsgGenPaymentCardSwipeLaneIDEmpty,El parámetro LaneID del lector de tarjetas está vacío.\nAsigne un LaneID a su lector de tarjetas.
MsgGenPaymentKSNempty,KSN vacío
MsgGenPaymentReturnToWrongAccount,Está tratando de hacer una devolución a la cuenta equivocada.
MsgGenPaymentDebitSupportForRetailAndGrocery,Debit only supported for Retail and Grocery!\nPlease pay with another method
MsgGenPaymentSendingPayment,Enviando pago
MsgGenPaymentGiftCardError,Error de la tarjeta de regalo
MsgGenPaymentGiftCardActivate,Activar tarjeta de regalo
MsgGenPaymentGiftCardCreateOrAdd,¿Crear/agregar a %@?
MsgGenPaymentStoreCreditActivate,Total Credito en Tienda:
MsgGenPaymentStoreCreditReceiptType,Seleccione tipo de orden
MsgGenPaymentStoreCreditCreate,Total Credito en Tienda:
MsgGenPaymentStoreCreditPay,Pagar con tarjeta de credito
MsgGenPaymentGiftCardRechargeTitle,Recargar tarjeta
MsgGenPaymentGiftCardRechargeText,Añadir fondos
MsgGenPaymentGiftCardActivatePrompt,¿Desea crear una nueva tarjeta de regalo %@ o agregar %@ a la tarjeta de regalo vinculada de %@?
MsgGenPaymentReEnterAValidCardNr,Re-Enter a valid card number
MsgGenPaymentGiftCardBalance,Saldo de la tarjeta de regalo
MsgGenPaymentPleaseEnterValidAmount,Introduzca un monto válido
MsgGenPaymentFailedActivateGiftCard,Error al activar la tarjeta de regalo.
MsgGenPaymentFailedToVoidGiftCard,Error al anular la tarjeta de regalo
MsgGenPaymentGiftActivationNotSupported,Gift activation not supported
MsgGenPaymentGiftCardInfo,Información de la tarjeta de regalo
MsgGenPaymentStoreCreditInfo,Actualizar la info de Tarjeta de credito
MsgGenPaymentGiftCardActivationSuccessful,Acción exitosa
BtnGenPaymentAddValue,Agregar valor
MsgGenPaymentAmountFormat,Cantidad
MsgGenPaymentTipFormat,Propina
MsgGenPaymentUserNotManagerOrOwner,User is not a manager or owner
MsgGenPaymentTipAmountOver100,Tip Amount Over 100%
MsgGenPaymentTipAmountOver100ManagerCard,Tip Amount Over 100%
MsgGenPaymentAutoCaptureError,Error de captura automática
MsgGenPaymentACTimeFormatInvalid,Auto Capture Time Format Invalid (%@)! Check the backend.
MsgGenPaymentUnableConnWithProcessor,No puede conectarse con el procesador. Pruebe con otro método de pago.
MsgGenPaymentCaptureAllowedJustOnMain,Capturing of transactions is allowed just on the Main Station.
MsgGenPaymentRequestedOperationNotSupportedContactPaymentExpress,La operación solicitada no es compatible. Póngase en contacto con Payment Express.
MsgGenPaymentProcessingAction,Procesando acción
MsgGenPaymentConfirmTipAmount,Confirme el monto de la propina
MsgGenPaymentTipGreaterThanTotal,El monto de la propina que ingresó es mayor que el monto total del pago.
MsgGenPaymentDriveOff,Marchar sin pagar
MsgGenPaymentFleetCard,Tarjeta de envío
MsgGenPaymentManualFleetCard,Tarjeta de envío
MsgGenPaymentManualFleetCardAuthorization,Autorizacion
MsgGenPaymentManualFleetCardVoucher,Numero de Autorizacion
MsgGenPaymentMaximumNumberOfProducts,Solo %d productos tienen permiso para este tipo de transacción
MsgGenPaymentOnlyOneFuelProductIsAllowed,Solo 1 producto combustible tiene permiso para este tipo de transacción
MsgGenPaymentNoProductCodeFoundForItem,No hay código de producto encontrado para artículo
MsgGenPaymentOnlyOneRetailProductIsAllowed,Solo 1 producto de venta minorista tiene permiso para este tipo de transacción
MsgVoidVoidError,Error de Anular
MsgVoidFailedUpdPaymentRec,Error al actualizar el registro del pago.
MsgVoidNoResponse,No hay respuesta
MsgVoidVoidFailed,Fallo Anular
MsgVoidReadThis,Lea esto
MsgVoidRefundPayBeforeVoid,Refund the %@ payment first before voiding the item(s)
BtnVoidRefund,Devolver
MsgVoidRefundPaymentsOfAmount,Reembolsar pagos de %@
MsgVoidNoThanks,No
MsgVoidQuestPayment,Pago con Quest
MsgVoidReferPinPad,Consulte a PinPad
MsgVoidPotFraudWarn,Advertencia de posible fraude.  El pago fue hecho en los últimos dos días.
MsgVoidLevelupRefundFailed,Falló el reembolso de Levelup
MsgVoidRefundError,Error de reembolso
MsgVoidAdyenRefundError,Adyen Refund Error
MsgVoidNoTransNrFoundForRefund,No se encontro el numero de transaccion para realizar el reembolso
MsgVoidRefundNotPossiblePaymentIsOffline,Reembolso Actualmente no es posible. \nPayment esta desconectado. \nPor favor devolucion total cuando se restaura la conectividad
MsgVoidRefundInTrainingMode,Solo pagos en efectivo están reembolsados en Modo de Prueba
MsgVoidMercuryPayRefundError,MercuryPay Refund Error
MsgVoidBadgeRefundFailed,Falló el reembolso de Badge
MsgVoidChargeAmt,Monto del Cargo
MsgVoidRefundAmt,Cant. Reembolso
MsgVoidTipAmount,Cant. Propina
MsgVoidRefundTip,Reembolsar Propina
MsgVoidAmountRemaining,Cant. Restante
MsgVoidPaymentRefundCannotBeMoreChargeAmount,La cantidad del reembolso del pago no puede ser mas que la cantidad del cargo.
MsgVoidTotalRefund,Total Reembolsado
MsgVoiding,Anulando
MsgRefunding,Reembolsando
MsgVoidPayPalRefundFailed,Fallo Reembolso de PayPal
MsgVoidPerformingRefundForOfflinePayment,Realizando reembolso por pago fuera de linea
MsgVoidRefundNotPossiblePaymentProcessingInProgress,Refund currently not possible for transaction - %@.\nPayment processing in progress.\nTry again later
MsgVoidRefundNotPossiblePaymentIsOfflineAndCouldBeProcessedOnlyOnMain,Reembolso Actualmente no es posible para la transaccion -.% @ \nPayment no esta en linea y puede ser procesado solo en la estacion principal
MsgVoidRefundPaymentIsCurrentlyOfflineRefundTipsToMakeFullRefund,Los pagos están sin conexión actualmente.\nReembolse las propinas para hacer un rembolso completo.
MsgVoidRefundTryingToRefundDeclinedPayment,"Está tratando de reembolsar un pago con una tarjeta de crédito rechazada.\n(número: XXXX%@, monto: %.2f)\nEl pago será reembolsado en su totalidad.\n¿Continuar?"
MsgVoidReturnForItemPurchasedMoreThanDays,%@ fue adquirido hace más de %d día(s).  Por favor ingrese un NIP de administrador para %@.
MsgVoidReturnForItemsPurchasedMoreThanDays,Los siguientes productos fueron comprados hace más de %d días.  Por favor ingrese un NIP de administrador para %@.
MsgVoidVoid,anular
MsgVoidReturn,devolver
MsgVoidVoidReturn,devolver
MsgVoidComps,gratuitos
MsgVoidExchange,cambiar
MsgVoidTheCashDrawerDoesNotHaveEnoughMoney,Caja registradora no contiene suficiente efectivo.
MsgSyncPostStationFullSync,Solo la estacion POS configurado para la sincronizacion completa se puede establecer como el principal
MsgSyncHasDirtyOrders,Usted no ha sincronizado ordenes. Sincronizar los antes de cambiar la estacion principal
MsgSyncSynchronizing,Sincronizando
MsgSyncMainStationNotFound,Estacion principal actual no se encuentra
MsgSyncNotSyncing,No sincronizando
MsgSyncPoorConnection,Mala conex. (%.0f%%)
MsgSyncMainTransferFailPaymentsProcessingMismatch,Estacion principal no se puede cambiar. Pagos procesados no coinciden. Intente cambiar Estacion principal una vez mas.
MsgSyncMainTransferFailPaymentsProcessingInProgress,Estacion principal no se puede cambiar. Procesamiento de pagos en curso. Intente cambiar Estacion principal despues.
MsgSyncKioskNotSyncing,Quiosco no esta funcionando. Proceda a la cajera para ordenar
MsgSyncMainNotReachableLong,No pudo contactarse a la estación POS principal durante %d minutos(s). Compruebe su red y la estación principal de POS.
MsgSyncStateSyncing,SINCRONIZANDO
MsgSyncStateUnsynced,NO-SINCRONIZANDO
MsgVoidReturnToInventory,Devolver a inventario
MsgVoidReturnToInventoryQuestion,¿Desea devolver estos artículos al inventario?
MsgOrderSearchInvalidEstablishment,Orden con tal identificacion no existe en este establecimiento
MsgOrderSearchNoResults,No puedo encontrar transacción con ese ID del pedido.
MsgOrderSearchFailedToLoadProductDetails,Fallado en subir detalles de producto. Por favor intenta de nuevo.
MsgFullProductIsNotLoaded,Detalles de producto deberían subirse. ¿Proceder?
MsgOrderSuborderLoaded,No puede abrirse el sub pedido.
MsgOrderCantMergeHasPayments,Orden no puede ser fusionada debido a que la orden tiene pagos.
MsgOrderCantMergeIsUnsynced,No puede combinarse el pedido porque no está sincronizado con la estación POS principal.
MsgOrderCantMergeClosed,Orden no puede ser fusionada debido a que esta cerrada
MsgOrderCantMergeInvoice,No puede combinarse el pedido con la factura.
MsgOrderLoading,Cargando
MsgOrderSaving,Guardando..
MsgOrderOrderWasDeleted,Orden se elimino de la principal y no puedo cargar desde el servidor de la su consola web en el momento
MsgOrderRemoveSurcharge,Remover recargo
MsgOrderRemoveSurchargeToo,Remover Recargo Tambien?
MsgOrderFakeOrders,Ordenes falsas
MsgOrderHeldOrders2,Ordenes Retenidas
MsgOrderTodaysOrders,Ordenes de Hoy
MsgOrderFindOrderByID,Buscar Orden por Identificacion
MsgOrderFindOrderByCallNumber,Buscar pedido por número de referencia
MsgOrderCloseHeldOrders,Cerrar Ordenes retenidas
MsgOrderScanBarCode,Escanear código de barras
MsgOrderinvalidScanBarCode,Datos de escaneo no válidos. Vuelva a intentarlo.
MsgOrderOnlineOrders,Pedido en línea
MsgOrderLoginToViewOnlineOrders,Por favor selecciona uno o más pedidos
MsgOrderOutstandingInvoices,Facturas pendientes
MsgFromServer,Del Servidor
MsgOrderMergeOrder,Fusionar Orden
MsgOrderDeliveryManagement,Gestionar A-domicilio
MsgOrderDeliveryCheckin,Cargos por servicio a domicilio
MsgOrderFindOrdersByCreditCard,Encuentra ordenes por Tarjeta de Credito
MsgOrderFindOrdersByPrintID,Buscar Orden por Identificacion
MsgOrderEnterPrintID,Ingrese núm. de orden de compra
MsgFindLinkedOrder,Buscar pedidos vinculados
MsgOrderFindOrders,Encuentra Ordenes
MsgOrderWantToCloseAllHeldOrders,Esta seguro que desea cerrar todas las ordenes retenidas?
MsgOrderPartiallyPaidOrdersNotClosed,Los siguientes pedidos no fueron cerrados porque sus pagos y sus ventas no coinciden.  Resuelva estos pedidos manualmente:\n\n
MsgOrderNotActivatedGiftOrdersNotClosed,Los siguientes pedidos no fueron cerrados porque sus pagos y sus ventas no coinciden.  Resuelva estos pedidos manualmente:\n\n
MsgOrderEnterOrderID,Ingrese Num.. De orden
MsgOrderEnterOrderIDorScanBarcode,Introduzca la ID de pedido o escanee el código de barras
MsgOrderEnterLast4CardDigits,Introduzca ultimos 4 digitos de la Tarjeta
MsgOrderReverse,Revocar
MsgOrderByTime,Por Hora
MsgOrderByOwner,Por Dueno
MsgOrderByOrderId,Por Orden Num..
MsgOrderFilteredOrders,Ordenes Filtradas
MsgOrderUnprintedOrders,Pedidos no impresos
MsgOrderThereIsNoAvailableBartab,No hay cuentas de bar disponibles
MsgOrderLinkingCardToOrder,Vinculando Tarjetas..
MsgOrderPrintOpenChecks,Imprimir notas abiertas
MsgManageCustomersSearchFieldPlaceHolderV2,"Buscar por Nombre, Empresa, Teléfono, Correo electrónico, Código de ref."
MsgOrderHistSearchFieldPlaceHolder,"Buscar por ID de pedido, nombre del cliente, nombre del empleado"
MsgOrderHistSearchFieldPlaceHolderInvoice,"Buscar por ID de factura, nombre del cliente, nombre del empleado"
MsgOrderHistSearchFieldPlaceHolderWeb,"Buscar por ID de pedido, nombre del cliente"
MsgOrderHistSearchFieldPlaceHolderCallNumber,"Buscar por núm. referencia, nombre del cliente, nombre del empleado"
MsgOrderHistSearchFieldPlaceHolderRevelLite,"Buscar por ID de pedido, nombre del cliente"
MsgOrderHistOrderID,Núm. de pedido
MsgOrderHistInvoiceID,Núm. de factura
MsgOrderHistTableID,Núm. de mesa
MsgOrderHistCustomerName,Cliente
MsgOrderHistDateOpened,Fecha de apertura
MsgOrderHistDatePlaced,Fecha de Cierre:
MsgOrderHistDiningType,Tipo de servicio
MsgOrderHistDateDue,Fecha de vencimiento
MsgOrderHistEmployeeName,Nombre del empleado
MsgOrderHistOrderTotal,Total
MsgOrderHistPrintId,Imprimir
MsgOrderHistBar,Barra #%d
MsgOrderInvoiceToOrderConfirmation,Esto creará un pedido a partir de la factura. ¿Está seguro?
MsgOrderFullyPaidInvoiceToOrderConfirmation,Este invoice está pagado por completo.\n¿Convertirlo en pedido?
MsgManageCustomersPhoneCaption,Núm. de teléfono
MsgManageCustomersRefCodeCaption,Ref. Código
MsgWarningInputAmountofCash,Por favor ingresa importe de efectivo presentado
MsgOrderScanItemNotFoundTitle,Artículo no encontrado
MsgOrderScanItemNotFound,"Artículo escaneado no coincide con ningún artículo esperando números de serie en este pedido. Como el pedido está completado y pagado, no pueden añadirse nuevos artículos al pedido. Para añadir nuevos artículos, por favor haga nuevo pedido."
MsgSomeModifiersNoLongerAvailable,Ni este servicio ni el empleado designado están disponibles.
MsgOrderTotalItems,Total de artículos
MsgOrderLastOrdered,Último pedido
BtnOrderLastNewBarTab,Nueva cuenta individual
MsgCustomerManageCustomers,Gestionar Clientes
BtnCustomerToOrder,Al pedido
BtnCustomerDisplayHistory,Mostrar la unidad
BtnCustomerManageAddresses,Gestione \nDirecciones
MsgCustomerFilter,Filtrar
MsgCustomerEnterName,Ingrese Nombre
MsgCustomerEnterPhone,Ingrese Telefono
MsgCustomerEnterRef,Ingrese Referencia
MsgCustomerEnterEmail,Ingrese Correo Elec.
MsgTitleAddNewCustomer,Agregar un cliente nuevo
BtnCustomerAddNew,Agregar nuevo
BtnAddAddress,Agregar dirección
BtnAddVIN,Añadir VIN
BtnCustomerNewCustomer,Cliente nuevo
BtnRemoveFromOrder,Eliminar de la entrega
MsgCustomerLinkCustomer,Vincular cliente
MsgCustomerLink,Vincular
MsgCustomerSelectCallname,Seleccionar un Nombre de llamada
MsgCustomerName,Nombre
MsgCustomerSurname,Apellido
MsgCustomerAddress,Direccion
MsgCustomerCity,Ciudad
MsgCustomerState,Estado
MsgCustomerStateProvince,Estado/Provincia
MsgCustomerZipCode,P.O.Box
MsgCustomerEmail,Correo electrónico
MsgCustomerUserName,Nombre de usuario
MsgCustomerPhoneNumber,Telefono
MsgCustomerRefCode,Codigo de Ref.
MsgCustomerGroup,Grupo de Clientes
MsgCustomerLoyaltyCardNumber,Número de tarjeta de lealtad
MsgLicNumber,Número de Lic
MsgCustomerGroupNone,Ninguno
MsgCustomerNotes,Notas
MsgCustomerRegisterLoyalty,Registrar lealtad
MsgCustomerUpdateLoyalty,Actualizar lealtad
MsgCustomerCreditCardXXXX,Tarj.Cred: XXXX XXXX XXXX %@
MsgCustomerNoCreditCard,No Tarj.Cred
MsgCustomerUpdateCreditCard,Actualizar Tarj.Cred
MsgCustomerSelectCustomer,Seleccione Cliente
MsgCustomerSelectCall,Seleccione un Nombre de llamada
MsgCustomerFillAllRequiredFields,Por favor
MsgCustomerBirthDate,Fecha Nac.
MsgCustomerFirstName,Nombre
MsgCustomerLastName,Apellido
MsgCompanyName,Nombre de la compañía
MsgAddressName,Nombre de la dirección
MsgCustomerStreetAddress,Direccion
MsgCustomerCountry,Pais
MsgCustomerBillingAddress,Direccion de Estado de Cuenta
